蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
Li-Fi,光纤通信,1 Gbps,最长10米,高,室内高速网络、数据安全,IEEE Spectrum,https://spectrum.ieee.org/,,
TDD-LTE,4G,150 Mbps,最长30公里,中,数据传输、视频会议,华为技术有限公司,https://www.huawei.com,,
Ultra-Reliable Low Latency Communication (URLLC),5G,1 Gbps,预计最长3公里,高,自动驾驶、医疗远程诊疗,英国电信,https://www.bt.com,,
HSPA+ (Extended),3.5G,65 Mbps,最长25公里,中,移动媒体、在线游戏,美国华盛顿大学,https://www.washington.edu/,,
Fixed Wireless Access (FWA),5G,200 Mbps,最长15公里,中,家庭宽带、商业服务,Verizon,https://www.verizon.com/,,
Voice over LTE (VoLTE),4G,最大100 Mbps,最长20公里,中,语音与数据同步、视频通话,中国信息通信研究院,https://www.caict.ac.cn/,,
Connected Car Network,5G,2 Gbps,预计最长1公里,高,智能汽车互联、交通管理,Mobile World Congress,https://www.mwcbarcelona.com/,,
Smart Antenna Systems,4G/5G,高达1 Gbps,最长1公里,中,高密度环境、活动场所通信,国际电信联盟,https://www.itu.int/,,
Dynamic Spectrum Sharing (DSS),5G,1 Gbps,最长10公里,中,现有基础设施的5G部署,华为技术有限公司,https://www.huawei.com/,,
NB-IoT,LPWA,150 kbps,最长35公里,低,智能城市、资产监控,中国信息通信研究院,https://www.caict.ac.cn,,
Edge 5G,5G,5 Gbps,最长500米,高,边缘计算、AR/VR应用,华为技术有限公司,https://www.huawei.com,,
LTE-A,4G,300 Mbps,最长100公里,中,高清视频、数据重传,European Telecommunications Standards Institute,https://www.etsi.org,,
4G LTE,4G,50 Mbps,最长10公里,中,移动宽带、游戏应用,AT&T,https://www.att.com,,
5G SA,5G,10 Gbps,最长1000米,高,自动驾驶、智能制造,IEEE,https://www.ieee.org,,
EUTRA,4G,150 Mbps,最长20公里,中,家庭宽带、企业网络,GSMA,https://www.gsma.com,,
CBRS,4G LTE/5G,1 Gbps,最长3公里,中,私有网络、电信补充,FCC,https://www.fcc.gov,,
WiMAX,4G,75 Mbps,最长50公里,中,乡村宽带、移动互联网,Intel,https://www.intel.com,,
Private 5G,5G,2 Gbps,不限,高,制造业、物流管理,Deloitte,https://www2.deloitte.com,,
V2X Communication,5G,500 Mbps,最长1公里,中,交通管理、设备对设备通讯,Qualcomm,https://www.qualcomm.com,,
Fixed Wireless Access,5G,1 Gbps,最长10公里,中,家庭上网、企业接入,Cisco Systems,https://www.cisco.com,,
LTE-Advanced Pro,4.5G,1 Gbps,最长50公里,高,高流量场景、企业服务,3GPP,https://www.3gpp.org,,
LAA,4G,300 Mbps,最长1公里,中,高密度区域网络,Nokia,https://www.nokia.com,,
5G NR,5G,3 Gbps,最长500米,高,高清直播、云游戏,Ericsson,https://www.ericsson.com,,
LPWAN,LPWAN,0.5-50 kbps,最长10公里,低,环境监测、智能农业,Gartner,https://www.gartner.com,,
6G Vision,6G,超过1 Tbps,预计最长1公里,极高,未来网络、智能城市,MIT Technology Review,https://www.technologyreview.com,,
VDSL,xDSL,100 Mbps,最长1公里,中,固定网络接入,Broadband Forum,https://www.broadband-forum.org,,
Wi-Fi 6,Wi-Fi,9.6 Gbps,预计最长300米,中,家庭网络、公共区域,Wi-Fi Alliance,https://www.wi-fi.org,,
5G NR,5G,10 Gbps,最长300米,高,自动驾驶、智能交通,Nokia,https://www.nokia.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、资产监控,GSMA,https://www.gsma.com/,,
LTE-A,4G,300 Mbps,最长50公里,中,高清视频流、在线游戏,Vodafone,https://www.vodafone.com/,,
TDSCDMA,3G,3.6 Mbps,最长15公里,中,语音通话、数据传输,中国联通,https://www.chinaunicom.com/,,
FDD-LTE,4G,150 Mbps,最长40公里,中,移动视频、在线学习,中国电信,https://www.chinatelecom.com.cn/,,
WiMAX,4G,1 Gbps,最长30公里,中,宽带接入、城市网络,IEEE,https://www.ieee.org/,,
HSPA+,3.5G,84 Mbps,最长40公里,中,移动社交、新闻应用,AT&T,https://www.att.com/,,
LoRa,LPWAN,0.3 kbps - 50 kbps,最长5公里,低,农业监测、环境监测,LoRa Alliance,https://lora-alliance.org/,,
6G,6G,超过1 Tbps,预计最长1公里,高,虚拟现实、增强现实,ITU,https://www.itu.int/,,
CDMA,2G,30-50 kbps,最长20公里,低,短信服务、基础电话服务,Qualcomm,https://www.qualcomm.com/,,
V2X Communication,5G,高达1 Gbps,短距离,中,车与车、车与基础设施通信,Ericsson,https://www.ericsson.com/,,
GNSS Refined,3.5G,10 Mbps,不限,中,精确定位、导航,CIA World Factbook,https://www.cia.gov/the-world-factbook/,,
Massive MIMO,5G,高达10 Gbps,最长500米,高,高密度人群区域通信,IEEE Spectrum,https://spectrum.ieee.org/,,
GSM-R,2G,35.2 kbps,最长50公里,低,铁路通信、运输指挥,International Union of Railways,https://uic.org/,,
Zigbee,短距离无线,250 kbps,最长100米,低,智能家居、工业自动化,Zigbee Alliance,https://zigbeealliance.org/,,
UWB,无线局域网,几百 Mbps,最长10米,低,室内定位、财物追踪,Decawave,https://www.decawave.com/,,
E-UTRA,4G LTE,300 Mbps,最长40公里,中,移动宽带、家庭互联网,3GPP,https://www.3gpp.org/,,
C-V2X,5G,高达1 Gbps,短距离,中,智能交通、联网汽车,China Academy of Information and Communications Technology,https://www.caict.ac.cn/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,中国信息通信研究院,https://www.caict.ac.cn,,
4G LTE,4G,150 Mbps,最长50公里,中,移动视频播放、在线游戏,华为技术有限公司,https://www.huawei.com,,
5G Sub-6 GHz,5G,1 Gbps,最长500米,高,虚拟现实、智能制造,GSMA,https://www.gsma.com,,
FDD-LTE,4G,100 Mbps,最长30公里,中,高速移动通信、视频会议,中国联通,https://www.chinaunicom.com,,
WiMAX,4G,75 Mbps,最长10公里,中,无线宽带、农村网络连接,IEEE,https://www.ieee.org,,
IoT 5G,5G,500 Mbps,不限,低,智能家居、工业自动化,国际电信联盟,https://www.itu.int,,
TDD-LTE,4G,300 Mbps,最长40公里,中,移动视频直播、导游系统,中兴通讯,https://www.zte.com.cn,,
LoRaWAN,LPWAN,0.5 kbps - 50 kbps,最长20公里,低,智能农业、城市治理,IoT Analytics,https://iot-analytics.com,,
C-V2X,5G,高达1 Gbps,最长500米,高,车联网、自动驾驶,华为技术有限公司,https://www.huawei.com,,
2G GSM,2G,最大80 kbps,最长35公里,低,语音通话、短信服务,Frost & Sullivan,https://www.frost.com,,
6G,6G,超过1 Tbps,预计最长1公里,高,全息数据爆发、实时3D传输,国际机器人联合会,https://www.ifr.org,,
Edge Computing LTE,4G,200 Mbps,最长20公里,中,边缘计算、智能监控,Cisco,https://www.cisco.com,,
GPRS,2.5G,40-120 kbps,最长30公里,低,远程监控、基础设施管理,市场研究公司,https://www.marketresearch.com,,
5G NR,5G,3 Gbps,最长1000米,高,增强现实、智慧医疗,Lightspeed Ventures,https://www.lightspeed.com,,
HSPA,3.5G,21 Mbps,最长25公里,中,网页浏览、在线社交,Telecom Management Forum,https://www.tmforum.org,,
Quick Response (QR) Framework,4G,50 Mbps,最长15公里,低,数据管理、商品识别,IDTechEx,https://www.idtechex.com,,
Open Radio Access Network (ORAN),5G,1.5 Gbps,最长1.5公里,高,网络协同、资源动态管理,ETSI,https://www.etsi.org,,
5G NR,5G,10 Gbps,最长500米,高,智能制造、智慧城市,华为技术有限公司,https://www.huawei.com,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智能抄表、环境监测,中国信通院,https://www.caict.ac.cn,,
TDD LTE,4G,150 Mbps,最长20公里,中,视频流、移动游戏,高通,https://www.qualcomm.com,,
S-Cell,5G,200 Mbps,最长200米,高,增强现实、虚拟现实,ITU,https://www.itu.int,,
4G LTE,4G,100 Mbps,最长50公里,中,移动宽带、互联网电视,中国移动,https://www.chinamobileltd.com,,
eMTC,LTE,1 Mbps,最长30公里,中,智能交通、车联网,GSMA,https://www.gsma.com,,
SDR,5G,500 Mbps,最长150米,高,无人驾驶、智能交通,IEEE Spectrum,https://spectrum.ieee.org,,
GSM-R,2G,9.6 kbps,最长500公里,中,铁路通信、车载系统,ITF,https://www.itf-oecd.org,,
WiMAX,4G,70 Mbps,最长15公里,中,农村宽带、移动互联网,IEEE,https://www.ieee.org,,
LAA,4G,1 Gbps,最长10公里,中,密集城市网络、公共安全,3GPP,https://www.3gpp.org,,
LPWA,LPWAN,0.1 kbps - 50 kbps,最长20公里,低,智能城市、设备监控,IoT Analytics,https://iot-analytics.com,,
FTHP,5G,20 Gbps,最长500米,高,超高清视频、云游戏,华为,https://www.huawei.com,,
G LTE,4G,200 Mbps,最长30公里,中,移动视频、语音通信,中国电信,https://www.chinatelecom.com.cn,,
C-V2X,5G,300 Mbps,最长1000米,高,车联网、智能交通,GSMA,https://www.gsma.com,,
Edge Computing,5G,50 Gbps,最长1公里,高,大数据处理、AI应用,Onward Communications,https://www.onwardcommunications.com,,
IoT Cellular,NB-IoT,100 kbps,最长35公里,低,物联网设备、家庭自动化,IDC,https://www.idc.com,,
V2V,5G,500 Mbps,最长500米,高,车辆通信、智能泊车,日经新闻,https://www.nikkei.com,,
Smart Grid,LPWAN,10 kbps,最长50公里,低,能源管理、智能电网,国际电力公司,https://www.ipe.org,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,阿里巴巴集团,https://www.alibaba.com/,,
4G LTE,4G,最大300 Mbps,最长50公里,中,移动视频播放、社交应用,诺基亚,https://www.nokia.com/,,
5G SA,5G,最大20 Gbps,最长500米,高,虚拟现实、智能工厂,华为技术有限公司,https://www.huawei.com,,
TDD LTE,4G,最大150 Mbps,最长20公里,中,数据流服务、移动电视,爱立信,https://www.ericsson.com/,,
5G NR,5G,超越1 Gbps,预计最大1公里,高,车联网、智能交通,ITU,https://www.itu.int/,,
VSAT,卫星,最高10 Mbps,不限,中,远程办公、海洋通信,SES S.A.,https://www.ses.com/,,
HSPA,3.5G,14.4 Mbps,最长30公里,中,动态网页服务、视频通话,中兴通讯,https://www.zte.com.cn/,,
C-V2X,5G,最高1 Gbps,最长500米,高,车联网、智能交通管理,GSA,https://gsacom.com/,,
LoRa,LPWAN,0.3 kbps - 50 kbps,最大15公里,低,农业监控、城市赛道探测,LoRa Alliance,https://lora-alliance.org/,,
Wi-Fi 6,Wi-Fi,最高9.6 Gbps,最大100米,中,进入计算机、家用设备,IEEE,https://www.ieee.org/,,
6G Prototypes,6G,预测超过100 Gbps,预计最大2公里,高,智能家居、全息互动,来自大学的研究,https://www.university-research.com/,,
Fifth Generation Fixed Wireless,5G,最高1 Gbps,最长3公里,中,住宅互联网接入、工业应用,AT&T,https://www.att.com/,,
GSM,2G,最高200 kbps,最长35公里,低,传统语音服务、短信,T-Mobile,https://www.t-mobile.com/,,
Edge Computing Network,边缘计算,可变，依赖于应用,不限,高,实时数据处理、远程监控,IBM,https://www.ibm.com/,,
PON,光纤,最大10 Gbps,最长20公里,中,家庭宽带、商业服务,Cisco,https://www.cisco.com/,,
Satellite Internet,卫星,最高25 Mbps,不限,高,偏远地区互联网接入、应急通信,SpaceX,https://www.spacex.com/,,
Terrestrial Trunked Radio,TETRA,最高60 kbps,最长50公里,中,公共安全、紧急服务,Motorola Solutions,https://www.motorolasolutions.com/,,
Smart Metering Networks,LPWAN,1 kbps - 100 kbps,最远20公里,低,智能电表、资源监控,GE Digital,https://www.ge.com/digital/,,
NR (5G New Radio),5G,1 Gbps,最长1000米,高,智能城市、自动驾驶,国科大,https://www.sjtu.edu.cn/,,
WiMAX,4G,70 Mbps,最长50公里,中,宽带接入、无线网络,Intel,https://www.intel.com/,,
Edge 5G,5G,10 Gbps,最长500米,高,工业自动化、远程医疗,Gartner,https://www.gartner.com/,,
TDSCDMA,3G,1-2 Mbps,最长15公里,低,语音和数据服务,中兴通讯,https://www.zte.com.cn/,,
NB-IoT,LPWA,200 kbps,最长10公里,低,智能计量、环境监测,ITU,https://www.itu.int/,,
V2X Communication,5G,100 Mbps,长度10公里,高,车联网、交通管理,IEEE,https://www.ieee.org/,,
Hybrid 4G/5G,4G/5G,300 Mbps,最长200米,中,移动游戏、流媒体,Nokia,https://www.nokia.com/,,
LAA (Licensed Assisted Access),4G,1 Gbps,最长300米,中,密集城市环境下的移动通信,Qualcomm,https://www.qualcomm.com/,,
DSRC (Dedicated Short Range Communications),4G,27 Mbps,最长1公里,中,高速公路安全、车辆系统,SAE International,https://www.sae.org/,,
6G Prototyping,6G,数百Gbps,预计最长2公里,高,全息视频、虚拟现实,Berkley University,https://www.berkeley.edu/,,
Smart DSSS (Direct Sequence Spread Spectrum),LPWAN,50 kbps,最长5公里,低,安全监控、智慧农业,GSA,https://gsacom.com/,,
GSM-R,2G,28.8 kbps,长达100公里,中,铁路通信、公共交通,UIC,https://uic.org/,,
Fixed Wireless Access,4G/5G,25 Mbps,最长5公里,中,家庭与企业上网,Analysys Mason,https://www.analysysmason.com/,,
Ultra-Reliable Low Latency Communication (URLLC),5G,超高速度,不定,高,医疗、工业自动化,3GPP,https://www.3gpp.org/,,
Open RAN Network,5G,高于1 Gbps,最长300米,中,灵活网络架构、供应链效率,O-RAN Alliance,https://www.o-ran.org/,,
Private 5G,5G,2 Gbps,最长500米,中,企业内部通信、安全网络,Vodafone,https://www.vodafone.com/,,
Multi-access Edge Computing,5G,高于10 Gbps,根据需求变化,高,数据处理、存储,Cisco,https://www.cisco.com/,,
NBIoT,NB-IoT,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
5G NR,5G,10 Gbps,最长500米,高,远程医疗、自动驾驶,ITU,https://www.itu.int/,,
4G LTE Advanced,4G,1 Gbps,最长35公里,中,高清视频、大数据传输,Verizon,https://www.verizon.com/,,
4G LTE,4G,100 Mbps,最长10公里,中,流媒体、在线游戏,中国联通,https://www.chinaunicom.com/,,
Fixed Wireless Access,5G,500 Mbps,最长3公里,高,家庭宽带、企业接入,Cisco,https://www.cisco.com/,,
TDD 5G,5G,1.5 Gbps,最长2公里,高,高清视频直播、虚拟现实,Rakuten Mobile,https://mobile.rakuten.co.jp/,,
5G Low-Band,5G,50 Mbps,最长200公里,中,广域覆盖、IoT设备,Telecoms.com,https://telecoms.com/,,
4G LTE-M,LPWA,300 kbps,最长20公里,低,智能水表、资产管理,欧盟网络与信息安全局,https://enisa.europa.eu/,,
5G Private Network,5G,7 Gbps,最长1公里,高,制造业、无人驾驶,Nokia,https://www.nokia.com/,,
Wi-Fi 6E,Wi-Fi,9.6 Gbps,最长100米,中,家庭网络、企业Wi-Fi,IEEE,https://www.ieee.org/,,
6G Testbed,6G,超过1 Tbps,预计最长3公里,高,超高清视频、 XR体验,5G Americas,https://www.5gamericas.org/,,
VoWiFi,VoIP,依赖于网络,无限制,低,语音通话、数据服务,网宿科技,https://www.wangsu.com/,,
HSPA Evolution,4G,84 Mbps,最长10公里,中,移动宽带、在线娱乐,华为技术有限公司,https://www.huawei.com/,,
实时视频传输,5G,2 Gbps,最长1公里,高,监控、远程教育,ZTE,https://www.zte.com.cn/,,
Cellular V2X,5G,1 Gbps,预计1000米,中,自动驾驶、智能交通信号,汽车工程师学会,https://sae.org/,,
LAA (License Assisted Access),LTE,600 Mbps,最长1公里,中,提升室内外信号,IEEE Wireless,https://wireless.ieee.org/,,
Time Division LTE,4G,50 Mbps,最长5公里,中,农业传感器、智能农业,农业部,https://www.moa.gov.cn/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
4G LTE,4G,最大300 Mbps,最长50公里,中,视频流、社交应用,中国电信,https://www.chinatelecom.com.cn,,
FDD-LTE,4G,150 Mbps,最长40公里,中,移动宽带、在线游戏,覆盖与技术研究中心,https://www.csrtech.org,,
5G NR,5G,最大10 Gbps,最长1000米,高,增强现实、自动驾驶,ITU,https://www.itu.int/,,
C-V2X,5G,1 Gbps,最长500米,高,车联网、智能交通,汽车工业协会,https://www.autoinfo.org,,
Mesh Networking,Wi-Fi,最高600 Mbps,不定,中,家庭自动化、会议室,网络设置协会,https://www.networksetup.org,,
IoT Cellular,LPWAN,0.5 kbps - 50 kbps,最长25公里,低,环保监测、牲畜追踪,IoT Forum,https://www.iotforum.org,,
LoRa,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,智能农业、水质监控,LoRa Alliance,https://lora-alliance.org,,
TETRA,专业无线,最大28.8 kbps,覆盖城市范围,中,应急服务、公共安全,TETRA协会,https://www.tetra-association.com,,
VDSL,宽带,最大100 Mbps,最长1公里,中,家庭宽带、企业网络,宽带发展论坛,https://www.broadbandforum.org,,
千兆无线,Wi-Fi 6,最高9.6 Gbps,最大300米,中,企业办公、家庭娱乐,Wi-Fi Alliance,https://www.wi-fi.org,,
SATCOM,卫星通信,高达400 Kbps,不限,高,海洋通信、航空通信,卫星通信联合会,https://www.satellite.org,,
6G TF,6G,预计超过100 Gbps,预计最长3公里,高,工业自动化、云计算,IEEE Communications Society,https://www.comsoc.org,,
C-Band 5G,5G,最高3 Gbps,最长500米,中,密集城市区域、实时监控,国家无线电频谱管理局,https://www.fcc.gov,,
FWA (Fixed Wireless Access),5G,高达1 Gbps,最多3公里,中,偏远地区宽带接入,全球宽带协会,https://www.broadbandworldforum.org,,
Data Over Sound,声波通信,低于128 Kbps,最长10米,中,近场通信、支付系统,声波技术协会,https://www.audiocommunication.org,,
NB-IoT,NB-IoT,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
4G LTE,4G,300 Mbps,最长50公里,中,移动网络、视频流服务,中国联通,https://www.chinaunicom.com/,,
5G NSA,5G,1.5 Gbps,最长300米,高,体育场景、智能交通,Nokia,https://www.nokia.com/,,
TDD LTE,4G,150 Mbps,最长15公里,中,无线宽带、移动电视,Huawei,https://www.huawei.com/,,
5G SA,5G,超过10 Gbps,最长500米,高,虚拟现实、自动驾驶,Ericsson,https://www.ericsson.com/,,
LoRa,LPWAN,0.5 kbps - 50 kbps,最长20公里,低,农业监测、智能水务,LoRa Alliance,https://lora-alliance.org/,,
4G VoLTE,4G,最大100 Mbps,最长80公里,中,高品质语音及视频通话,Verizon,https://www.verizon.com/,,
FDD LTE,4G,300 Mbps,最长40公里,中,全方位移动数据服务,Sprint,https://www.sprint.com/,,
5G NR,5G,高达1 Gbps,最长1公里,高,远程医疗、增强现实,ITU,https://www.itu.int/,,
HSPA Evolution,3.75G,84 Mbps,最长30公里,中,移动视频、社交媒体,全球移动通信协会,https://www.gsma.com/,,
eMTC,LPWA,1 Mbps,最长10公里,低,智能穿戴设备、智能电表,3GPP,https://www.3gpp.org/,,
WiMAX,4G,30 Mbps,最长50公里,中,宽带接入、无线增值服务,IEEE,https://www.ieee.org/,,
CDMA2000 EV-DO,3G,高达3.1 Mbps,最长25公里,中,高速数据服务、在线游戏,中国电信,https://www.chinatelecom.com.cn/,,
