网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注
企业级云存储系统,云计算系统,多租户环境,IBM,2023-06-03,IBM,国际商业机器公司,企业用户,云技术研究,https://www.ibm.com,,
遥感数据传输系统,卫星通信,实时数据流,NASA,2023-02-14,NASA,美国国家航空航天局,科研机构,航天科技研究,https://www.nasa.gov,,
跨境通信网络,国际通信系统,全球互联,Verizon,2023-09-20,Verizon,Verizon Communications Inc.,企业用户,国际电信联合会,https://www.verizon.com,,
智慧家庭自动化网络,家庭智能系统,Zigbee与Wi-Fi集成,欧姆龙,2023-03-15,Omron,欧姆龙科技（中国）有限公司,家庭用户,智能家居行业报告,http://www.omron.com,,
NB-Fi网络,物联网通信,NB-Fi,小米科技,2023-08-10,小米,小米集团,智能家庭设备制造商,物联网全球大会,http://www.mi.com,,
北极星卫星通信系统,卫星通信,Ka-band卫星,Iridium,2023-05-05,Iridium Communications,Iridium Satellite LLC,海洋与航空用户,国际航天局,https://www.iridium.com,,
绿色智能电网系统,能源管理系统,智能电表与调度,西门子,2023-09-28,Siemens,西门子股份公司,公共服务单位,能源技术论坛,https://www.siemens.com,,
Wi-Fi 6E网络,无线通信系统,802.11ax,TP-Link,2023-06-22,TP-Link,"TP-Link Technologies Co., Ltd.",家庭与小型企业,无线技术协会,https://www.tp-link.com,,
光纤到户系统,固定通信系统,FTTH,中国联通,2023-04-11,中国联通,中国联合网络通信有限公司,普通用户,互联网发展报告,http://www.chinaunicom.com,,
月球通信基础设施,深空通信,光通信,NASA,2023-10-01,NASA,美国国家航空航天局,科研机构,美国国家航空航天局,https://www.nasa.gov,,
智能农业传感网络,农业物联网,LoRaWAN,中兴通讯,2023-07-14,中兴,中兴通讯股份有限公司,农业生产者,农业科技协会,http://www.zte.com.cn,,
个人5G网络,移动通信系统,5G NR,AT&T,2023-04-20,AT&T,AT&T Inc.,个人用户,美国交通部,https://www.att.com,,
虚拟现实通信平台,移动通信系统,低延迟视频传输,Facebook,2023-09-05,Meta,"Meta Platforms, Inc.",娱乐与教育行业,科技内幕,https://www.meta.com,,
多接入边缘计算平台,云计算系统,MEC,Amazon Web Services,2023-08-30,AWS,亚马逊网络服务公司,开发者与企业用户,云计算行业报告,https://aws.amazon.com,,
高安全性通信系统,安全通信系统,全密钥加密,IBM,2023-05-22,IBM Security,国际商业机器公司,企业及政府用户,国际安全会议,https://www.ibm.com,,
智联汽车管理平台,车联网,V2C通信,奔驰汽车,2023-06-05,Mercedes-Benz,梅赛德斯-奔驰股份公司,汽车制造与服务行业,汽车技术交流会,https://www.mercedes-benz.com,,
全球无线电导航系统,定位与导航,GNSS,卫星导航局,2023-08-15,GNSS Agency,卫星导航国际合作组织,公共安全与交通管理,国际卫星组织,https://www.gnss.org,,
数字身份认证网络,安全通信系统,区块链技术,阿里云,2023-07-19,Alibaba Cloud,阿里巴巴云计算有限公司,金融与电商平台,信息安全会议,https://www.alibabacloud.com,,
智能建筑网络系统,智慧建筑通信,IoT集成,霍尼韦尔,2023-09-12,Honeywell,霍尼韦尔国际公司,商业建筑用户,建筑科技论坛,https://www.honeywell.com,,
智能灌溉系统,农业物联网,传感器与远程控制,兄弟科技,2023-06-28,Brother Industries,兄弟工业株式会社,农业用户,农业智能化报告,http://www.brother.com,,
智能家居控制系统,物联网通信,Smart Home Integration,小米科技,2023-08-15,小米,小米科技有限责任公司,家庭用户,中国家电网,https://www.mi.com,,
卫星互联网服务,卫星通信,Low Earth Orbit,Starlink,2023-07-25,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通信委员会,https://www.starlink.com,,
增强现实通信系统,虚拟现实通信,AR Cloud Technology,Magic Leap,2023-10-05,"Magic Leap, Inc.","Magic Leap, Inc.",企业用户,科技新闻网站,https://www.magicleap.com,,
下一代广域网,网络基础设施,SD-WAN,Cisco Systems,2023-09-20,Cisco,思科系统公司,大型企业,行业白皮书,https://www.cisco.com,,
智能无人驾驶交通系统,智慧城市通信,V2I Communication,特斯拉,2023-11-01,"Tesla, Inc.",特斯拉汽车公司,汽车制造商与城市管理者,交通能源合作组织,https://www.tesla.com,,
6G研究通信网,未来通信系统,6G Network Prototypes,诺基亚,2023-09-12,Nokia,诺基亚公司,研究机构,全球未来网络大会,https://www.nokia.com,,
安全物联网系统,物联网通信,IOT Security Protocols,思科系统,2023-06-28,Cisco,思科系统公司,智能设备制造商,物联网安全研究所,https://www.cisco.com,,
量子安全通信网络,量子通信,量子密钥分发,IBM,2023-08-09,IBM,国际商业机器公司,金融机构,IBM Quantum Research,https://www.ibm.com,,
城市智能照明控制系统,智慧城市通信,智能灯杆,施耐德电气,2023-05-22,Schneider Electric,施耐德电气公司,城市管理者,城市基础设施论坛,https://www.se.com,,
个人区域网通信系统,无线通信,Zigbee,德州仪器,2023-04-18,Texas Instruments,德州仪器有限公司,家庭用户,电子技术杂志,http://www.ti.com,,
健康监护传感网络,物联网通信,Wearable Devices,Apple Inc.,2023-08-04,Apple,苹果公司,医疗行业,医疗科技论坛,https://www.apple.com,,
南极科研通信系统,远程通信,Satellite Link,NASA,2023-09-20,NASA,美国国家航空航天局,科学研究人员,NASA官方发布,https://www.nasa.gov,,
大数据分析网络系统,云计算,Data Lakes,亚马逊网络服务,2023-07-10,AWS,亚马逊网络服务公司,大型企业,云计算会议,https://aws.amazon.com,,
5G智能农业系统,移动通信系统,5G Connectivity,华为技术有限公司,2023-05-09,华为,华为技术有限公司,农业用户,中国农业科技网,https://www.huawei.com,,
高效云存储解决方案,云计算,Hybrid Cloud,微软公司,2023-10-15,Microsoft,微软公司,企业用户,IT行业报告,https://www.microsoft.com,,
高性能计算网络,超级计算,Supercomputing Access,英特尔公司,2023-08-22,Intel,英特尔公司,研究机构,电子工程网络,https://www.intel.com,,
Frugal 5G网络系统,移动通信系统,Affordable 5G,巴基斯坦电信,2023-07-31,PTCL,巴基斯坦电信公司,普通用户,巴基斯坦国家电信局,https://www.ptcl.com.pk,,
城市无线传感网络,物联网通信,LoRaWAN,联通科技,2023-06-15,中国联合网络通信有限公司,中国联合网络通信集团有限公司,城市管理者,通讯行业协会,https://www.cuta.gov.cn,,
智能气候监测系统,环境监控系统,多传感器数据集成,清华大学科技园,2023-08-05,清华科技园技术有限公司,清华科技园发展有限公司,科研与农业,环境科学研究所,http://www.tsinghua.edu.cn,,
车路协同系统,智慧交通系统,DSRC,华为技术有限公司,2023-04-28,华为,华为技术有限公司,运输公司,中国智能交通协会,https://www.china-its.org,,
多灶点智能健康监控系统,医疗通信系统,远程监测设备,苹果医疗,2023-09-01,苹果科技有限公司,苹果公司,医疗机构,国际医疗技术评估组织,https://www.apple.com,,
空间通信网络,卫星通信系统,S-band,SpaceX,2023-05-19,SpaceX,Space Exploration Technologies Corp,全球用户,美国联邦通信委员会,https://www.fcc.gov,,
可扩展工业IoT系统,工业通信,5G-LTE融合,西门子技术有限公司,2023-03-15,西门子,西门子股份公司,制造业,德勤调查,https://www.deloitte.com,,
智能家居统一平台,消费品通信,Zigbee,小米公司,2023-06-30,小米科技,北京小米科技有限责任公司,家庭用户,消费电子协会,https://www.mi.com,,
农村宽带网络,固定通信系统,光纤接入,中国移动,2023-01-10,中国移动通信集团,中国移动通信公司,乡村居民,中国通信运营商协会,https://www.chinamobileltd.com,,
全球多媒体通信平台,多媒体系统,高效视频编码,腾讯科技,2023-03-22,腾讯,腾讯控股有限公司,媒体与娱乐业,国家广播电视总局,https://www.tencent.com,,
智能电网通信系统,电力通信系统,IEC 61850,国家电网公司,2023-09-10,国家电网,国家电网公司,电力用户,电力工程与技术杂志,http://www.sgcc.com.cn,,
超高清直播传输系统,视频通信,8K视频编码,华数传媒,2023-05-12,华数传媒网络有限公司,华数传媒股份有限公司,视频制作公司,中国网络视听节目服务协会,http://www.wasu.cn,,
多行业边缘计算平台,云计算,边缘数据处理,IBM中国,2023-07-18,国际商业机器公司,IBM中国,企业用户,云计算趋势报告,https://www.ibm.com,,
生物识别安全通信系统,安全通信系统,指纹及面部识别,虹软科技,2023-08-20,虹软科技股份有限公司,虹软科技,金融服务,安全技术协会,https://www.arcsoft.com,,
智能客服聊天机器人,人工智能通信,自然语言处理,百度科技,2023-09-25,百度,百度公司,客户服务行业,人工智能国际大会,https://www.baidu.com,,
数字内容分发网络,多媒体系统,实时流媒体,阿里巴巴集团,2023-10-05,阿里云,阿里巴巴（中国）网络技术有限公司,媒体公司,中国云计算研究中心,https://www.alibabagroup.com,,
城市公共安全无线网络,安全通信系统,数字对讲系统,海能达科技,2023-07-30,海能达,海能达科技有限公司,市政机构,国家公共安全部,https://www.hi-tech.com,,
智能冰箱联网系统,物联网通信,IoT Connect,海尔集团,2023-04-10,海尔,海尔智家有限公司,家庭用户,智能家居技术报告,https://www.haier.com,,
下一代无线通信网络,移动通信系统,6G网络基础设施,诺基亚,2023-06-30,诺基亚,诺基亚网络,服务提供商,诺基亚研发中心,https://www.nokia.com,,
智能城市传感器网络,智慧城市通信,无线传感器网络,西门子,2023-03-20,西门子公司,西门子股份公司,政府部门,城市规划与发展报告,https://www.siemens.com,,
深海通信系统,水下通信系统,声学通信,Thales Group,2023-07-15,Thales,Thales集团,海洋科研机构,海洋技术研究所,https://www.thalesgroup.com,,
公共Wi-Fi接入网络,无线通信系统,Wi-Fi 6,思科系统公司,2023-08-01,思科,思科系统有限公司,公共场所用户,网络安全报告,https://www.cisco.com,,
量子卫星通信系统,量子通信,量子密钥分发技术,中国航天科技集团,2023-09-05,中国航天科技,中国航天科技集团有限公司,政府机构,航天通信研究中心,https://www.spacechina.com,,
农村数字通信网络,固定通信系统,光纤宽带,中国联通,2022-12-20,中国联通,中国联合网络通信有限公司,农村用户,数字乡村建设研究,https://www.chinaunicom.com,,
多频段5G网络,移动通信系统,"5G NR, Dual-Band",Verizon,2023-01-10,Verizon Communications,Verizon公司,美国用户,美国通信委员会,https://www.verizon.com,,
超高速光纤网络,固定通信系统,"光纤, 10 Gbps",日本电信电话公司,2023-02-25,NTT,日本电信电话公司,普通家庭用户,日本总务省,https://www.ntt.com,,
人工智能网络监控系统,安全通信系统,AI图像分析,大华股份,2023-08-20,大华技术,大华技术股份有限公司,商业用户,AI技术研究报告,http://www.dahuasecurity.com,,
智慧停车系统,智慧城市通信,车位实时监测,腾讯公司,2023-05-15,腾讯,腾讯科技(深圳)有限公司,城市管理者,城市交通管理报告,https://www.tencent.com,,
智能农业传感系统,物联网通信,环境监测,华为技术有限公司,2023-03-05,华为,华为技术有限公司,农业企业,农业技术研究报告,https://www.huawei.com,,
全球卫星互联网系统,卫星通信,低轨卫星网络,SpaceX,2023-08-30,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,卫星技术发展报告,https://www.spacex.com,,
车联网系统,物联网通信,V2X通信,特斯拉,2023-09-12,特斯拉汽车,"特斯拉, Inc.",汽车制造商,交通与技术研究报告,https://www.tesla.com,,
虚拟现实通信平台,无线通信系统,AR/VR实时交互,Meta,2023-02-15,Meta Platforms,Meta公司,游戏开发者,虚拟现实市场分析,https://www.meta.com,,
虚拟现实渗透式通信系统,多媒体通信系统,VR/AR集成,字节跳动,2023-10-10,字节跳动,字节跳动科技有限公司,消费者与开发者,科技创新市场调查,https://www.bytedance.com,,
智慧农业管理平台,物联网通信,农田监控系统,中农网,2023-06-15,中农科技,中农网科技有限公司,农业生产者,农业科技杂志,https://www.1950.agriculture.com,,
全球智能空中交通管理系统,航空通信系统,空管信息融合平台,波音公司,2023-08-05,波音,波音公司,航空公司与机场,全球航空协会,https://www.boeing.com,,
高效能源管理系统,智能电网通信,实时数据监控,西门子,2023-02-22,西门子,西门子股份公司,能源公司,能源技术论坛,https://www.siemens.com,,
全球货运追踪通信平台,物流通信系统,下单到交付的全程追踪,联邦快递,2023-04-12,联邦快递,联邦快递物流公司,商业寄件者,物流业报告,https://www.fedex.com,,
分布式账本通信技术,区块链通信系统,安全支付协议,Ripple Labs,2023-01-30,Ripple,Ripple实验室,金融机构,金融技术杂志,https://ripple.com,,
城市环境监测系统,智能城市解决方案,空气质量监测,IBM,2023-09-25,IBM,国际商业机器公司,地方政府,智能城市评估研究,https://www.ibm.com,,
移动支付通信系统,金融通信,近场通信NFC,PayPal,2022-11-11,PayPal,"PayPal Holdings, Inc.",在线商户,金融科技评论,https://www.paypal.com,,
典型家庭自动化系统,家庭智能通信,IoT家居连接,Nest Labs,2023-05-05,谷歌,谷歌公司,家庭用户,智能家居协会,https://nest.com,,
智能自助服务终端,服务通信系统,多种语言自助,奥的斯电梯,2023-03-18,奥的斯,奥的斯电梯公司,商业与消费者,服务行业标准,https://www.otis.com,,
数字身份验证通信平台,安全通信,生物识别技术,Auth0,2023-09-01,Auth0,"Auth0, Inc.",企业用户,网络安全杂志,https://auth0.com,,
高性能计算云服务,云计算系统, HPC资源整合,NVIDIA,2023-07-19,NVIDIA,NVIDIA Corporation,科研机构与企业,高性能计算协会,https://www.nvidia.com,,
