基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
光纤宽带 (FTTH),1 Gbps,1 Gbps,高,中国电信,https://www.chinaec.com/,,
2.5G PON,1.25 Gbps,2.5 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
无线路由器 802.11ax,1.5 Gbps,4.8 Gbps,中,TP-Link,https://www.tp-link.com/,,
B波段卫星通信,25 Mbps,400 Mbps,低,Inmarsat,https://www.inmarsat.com/,,
ADSL2+,1 Mbps,24 Mbps,中,Rogers Communications,https://www.rogers.com/,,
NGA技术 (Next Generation Access),200 Mbps,500 Mbps,高,英国电信,https://www.bt.com/,,
无线传感器网络,5 Mbps,10 Mbps,中,MIT Media Lab,https://www.media.mit.edu/,,
FTTC (光纤到街区),50 Mbps,200 Mbps,中,Deutsche Telekom,https://www.telekom.com/,,
WiMAX,15 Mbps,30 Mbps,低,Clearwire,https://www.clearwire.com/,,
尚未铺开的光纤基础设施,1 Mbps,10 Mbps,中,Verizon,https://www.verizon.com/,,
4G LTE,50 Mbps,150 Mbps,中,AT&T,https://www.att.com/,,
PPPoE (点对点协议),4 Mbps,16 Mbps,低,联想科技,https://www.lenovo.com/,,
5G NR (新无线接入技术),400 Mbps,2 Gbps,高,高通公司,https://www.qualcomm.com/,,
网络整合平台,10 Mbps,200 Mbps,高,佳能,https://www.canon.com/,,
下一代无线接入网络 (NG-RAN),300 Mbps,1.5 Gbps,高,爱立信,https://www.ericsson.com/,,
视觉光子网络 (V光功率),60 Mbps,600 Mbps,中,Intel,https://www.intel.com/,,
边缘计算网络,25 Mbps,250 Mbps,高,华为云,https://www.huaweicloud.com/,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com,,
固定无线接入,10 Mbps,50 Mbps,中,Lao Telecom,https://www.laotelecom.com,,
第五代移动通信（5G）,200 Mbps,1.5 Gbps,高,中国联通,https://www.chinaunicom.com/,,
光纤分布式天线系统（DAS）,100 Mbps,600 Mbps,高,爱立信,https://www.ericsson.com,,
有线电视接入 (CATV),20 Mbps,300 Mbps,中,长城宽带,http://www.greatwall.net.cn,,
毫米波通信,1 Gbps,4 Gbps,中,华为技术,https://www.huawei.com,,
光纤到大楼（FTTB）,150 Mbps,600 Mbps,高,中兴通讯,https://www.zte.com.cn,,
混合光缆（HFC）,30 Mbps,200 Mbps,中,日本NTT,https://www.ntt.co.jp,,
卫星宽带,10 Mbps,100 Mbps,低,SES Networks,https://www.ses.com,,
IoT边缘计算网络,200 Mbps,400 Mbps,高,阿里云,https://www.aliyun.com,,
低功耗广域网 (LPWAN),不适用,不适用,中,Sigfox,https://www.sigfox.com,,
光纤-无线整合网络,250 Mbps,800 Mbps,高,中国华信,https://www.chinacomm.com,,
集成光传输网络,480 Mbps,1 Gbps,高,现代汽车通信,https://www.hyundai.com,,
机载互联网接入,15 Mbps,75 Mbps,中,Gogo Inc.,https://www.gogoair.com,,
全光网络,1 Gbps,10 Gbps,高,AT&T,https://www.att.com,,
超宽带接入,300 Mbps,1.2 Gbps,高,Verizon,https://www.verizon.com,,
低延迟宽带,500 Mbps,2 Gbps,高,Google Fiber,https://fiber.google.com,,
极高频 (EHF) 网络,400 Mbps,1.5 Gbps,中,光纤协会,https://www.foa.org,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,50 Mbps,300 Mbps,中,环球网,https://www.huanqiu.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,中关村在线,https://www.zol.com.cn,,
宽带光纤接入,100 Mbps,500 Mbps,高,新浪科技,https://www.sina.com.cn,,
混合光纤同轴网络 (HFC),150 Mbps,600 Mbps,中,央视网,https://www.cctv.com,,
专线网络,1 Gbps,1 Gbps,高,腾讯云,https://cloud.tencent.com,,
美国的光纤接入,50 Mbps,200 Mbps,低,美国有线电视新闻网（CNN）,https://www.cnn.com,,
以太网光纤接入,1.5 Gbps,1.5 Gbps,高,国际电信联盟（ITU）,https://www.itu.int,,
NB-IoT网络,20 Kbps,100 Kbps,中,3GPP,https://www.3gpp.org,,
量子通信网络,特定,特定,高,清华大学量子研究所,https://www.tsinghua.edu.cn/projects/quantum,,
家庭卫星宽带,10 Mbps,30 Mbps,中,Dish Network,https://www.dish.com,,
5G NR（新无线接入）,250 Mbps,2 Gbps,高,华为技术,https://www.huawei.com,,
蓝牙 5.2,2 Mbps,4 Mbps,低,IEEE标准协会,https://www.ieee.org,,
体感传感网络,15 Mbps,50 Mbps,中,福布斯,https://www.forbes.com,,
智能家居网络,100 Mbps,500 Mbps,高,麻省理工学院（MIT）,https://www.mit.edu,,
长距离无线传输,5 Mbps,25 Mbps,中,电信研究院,https://www.itu.int/en/ITU-T/Study-Groups/2017-2020/20/Pages/default.aspx,,
边缘计算网络,1 Gbps,1 Gbps,高,IBM,https://www.ibm.com,,
LPWAN网络,50 Kbps,100 Kbps,中,GeekWire,https://www.geekwire.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
Wi-Fi 5,400 Mbps,3.5 Gbps,中,小米科技,https://www.mi.com,,
光纤分布式接入,150 Mbps,600 Mbps,高,华为技术,https://www.huawei.com,,
5G毫米波网络,200 Mbps,2 Gbps,高,高通公司,https://www.qualcomm.com,,
DOCSIS 3.1,50 Mbps,1.2 Gbps,中,美国有线协会,https://www.ncta.com,,
光传输网络 (OTN),1 Gbps,10 Gbps,高,阿里巴巴集团,https://www.alibaba.com,,
太赫兹通信,1.2 Gbps,5 Gbps,高,中科院,https://www.cas.cn,,
光纤通道,8 Gbps,8 Gbps,高,思科系统,https://www.cisco.com,,
下一代移动通信,250 Mbps,1.5 Gbps,高,国际电信联盟,https://www.itu.int,,
超宽带无线电,100 Mbps,2.5 Gbps,高,英特尔,https://www.intel.com,,
LTE Advanced,75 Mbps,1 Gbps,中,中国移动,https://www.chinamobileltd.com,,
Starlink卫星网络,20 Mbps,150 Mbps,高,SpaceX,https://www.spacex.com,,
边缘计算网络,500 Mbps,3 Gbps,高,微软,https://www.microsoft.com,,
地面Wi-Fi网络,100 Mbps,500 Mbps,中,中国联通,https://www.chinaunicom.com,,
云计算网络,40 Mbps,800 Mbps,中,AWS,https://aws.amazon.com,,
移动热点,35 Mbps,200 Mbps,中,联通云,https://www.chunghwa.com,,
宽带卫星,15 Mbps,300 Mbps,中,Telesat,https://www.telesat.com,,
光纤到户(FTTH),1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
全光网,10 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
低轨道卫星网络,30 Mbps,300 Mbps,中,OneWeb,https://www.oneweb.world,,
6G网络,500 Mbps,1.5 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
数字用户线（G.fast）,150 Mbps,1 Gbps,高,UT斯达康,https://www.utstar.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,Netgear,https://www.netgear.com,,
回传光纤,200 Mbps,1 Gbps,高,思科系统公司,https://www.cisco.com,,
MPLS网络,1 Gbps,10 Gbps,中,美国运营商协会,https://www.nctatechnicalpapers.com,,
5G毫米波,200 Mbps,4 Gbps,高,德州仪器,https://www.ti.com,,
光纤分布式接入,300 Mbps,1 Gbps,中,爱立信,https://www.ericsson.com,,
以太网光纤,500 Mbps,5 Gbps,高,AT&T,https://www.att.com,,
智能边缘计算网络,100 Mbps,1 Gbps,高,阿里云,https://www.aliyun.com,,
立体视觉传输,1 Gbps,2 Gbps,高,英特尔,https://www.intel.com,,
量子通信网络,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
蜂窝网络,100 Mbps,600 Mbps,高,谷歌,https://www.google.com,,
长距离无线电,15 Mbps,200 Mbps,中,LoRa Alliance,https://lora-alliance.org,,
自组织网络,250 Mbps,900 Mbps,高,华为技术,https://www.huawei.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
多址接入（CDMA）,75 Mbps,400 Mbps,中,中兴通讯,https://www.zte.com.cn,,
蜂窝网络（4G LTE）,50 Mbps,300 Mbps,中,爱立信,https://www.ericsson.com,,
光纤到大楼（FTTB）,150 Mbps,600 Mbps,高,香港电讯,https://www.hkt.com,,
微波通信,100 Mbps,1.2 Gbps,中,华为技术,https://www.huawei.com,,
混合光纤同轴电缆（HFC）,40 Mbps,400 Mbps,中,东京电信,https://www.ntt.com,,
固定无线接入,30 Mbps,150 Mbps,高,美国联邦通信委员会,https://www.fcc.gov,,
城域网（MAN）,200 Mbps,750 Mbps,高,东南大学,https://www.seu.edu.cn,,
超宽带技术,60 Mbps,500 Mbps,中,IEEE,https://www.ieee.org,,
邻域网（NeighNet）,10 Mbps,90 Mbps,中,地方创新实验室,https://www.localinnovationlab.com,,
量子通信网络,特定,特定,高,清华大学量子研究所,https://quantum.tsinghua.edu.cn,,
波分复用（WDM）,150 Mbps,600 Mbps,高,美国光电子学协会,https://www.optics.org,,
动态频谱接入（DSA）,80 Mbps,400 Mbps,中,诺基亚,https://www.nokia.com,,
卫星宽带,25 Mbps,200 Mbps,低,国际卫星互联网,https://www.satelliteinternet.com,,
智能家居网络,50 Mbps,350 Mbps,中,小米科技,https://www.mi.com,,
长距离纤维通信,100 Mbps,800 Mbps,高,国际电信联盟,https://www.itu.int,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
无线局域网（WLAN）,300 Mbps,1.2 Gbps,中,小米科技,https://www.mi.com,,
有线电视网络（CATV）,10 Mbps,200 Mbps,中,中国广播电视网络有限公司,https://www.tccnet.com.cn/,,
固定无线接入（FWA）,50 Mbps,300 Mbps,高,印度信号有限公司,https://www.indicates.com,,
共享光纤接入（GPON）,150 Mbps,2 Gbps,高,法国电信,https://www.orange.com,,
移动宽带（4G LTE）,20 Mbps,100 Mbps,中,AT&T,https://www.att.com,,
全光网络（AON）,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
DSL接入,15 Mbps,75 Mbps,中,英特尔公司,https://www.intel.com,,
光纤分布式接入,100 Mbps,800 Mbps,高,日本通信,https://www.ntt.com,,
云接入网络,250 Mbps,1.5 Gbps,高,亚马逊云服务,https://aws.amazon.com,,
无线Mesh网络,75 Mbps,300 Mbps,中,网件公司,https://www.netgear.com,,
边缘计算网络,200 Mbps,900 Mbps,高,谷歌云,https://cloud.google.com,,
复用波长接入（WDM）,8 Gbps,40 Gbps,高,光电子协会,https://www.oled-a.org,,
网络切片（Network Slicing）,1 Gbps,5 Gbps,中,5G技术联盟,https://www.5gamericas.org,,
液态光纤网络,400 Mbps,2.5 Gbps,高,中国科学院,https://www.cas.cn,,
全向卫星通信,100 Mbps,500 Mbps,中,迪斯尼卫星公司,https://www.disneysatellite.com,,
深空通信网络,50 Mbps,150 Mbps,中,NASA,https://www.nasa.gov/,,
家庭互联网连接,75 Mbps,400 Mbps,高,英国电信,https://www.bt.com,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤接入网络（FAN）,400 Mbps,800 Mbps,高,宁德时代,https://www.catl.com,,
数字用户线（ADSL）,1 Mbps,24 Mbps,中,美国电话电报公司,https://www.att.com,,
移动边缘计算（MEC）,250 Mbps,1 Gbps,高,知乎,https://www.zhihu.com,,
光纤扩展接入（FEXT）,500 Mbps,1.5 Gbps,中,新浪科技,https://tech.sina.com.cn,,
以太网光接入,10 Gbps,10 Gbps,高,思科系统,https://www.cisco.com,,
Wi-Fi 6E,2 Gbps,9.6 Gbps,中,小米科技,https://www.mi.com,,
全光网络（WDM）,5 Gbps,20 Gbps,高,中兴通讯,https://www.zte.com.cn,,
卫星互联网,50 Mbps,200 Mbps,中,NASA,https://www.nasa.gov,,
无线光通信,500 Mbps,1 Gbps,高,清华大学,https://www.tsinghua.edu.cn,,
毫米波通信,1 Gbps,8 Gbps,高,华为技术,https://www.huawei.com,,
高速移动通信,100 Mbps,600 Mbps,中,中国联通,https://www.chinaunicom.com/,,
光纤射频技术（RFoG）,300 Mbps,1 Gbps,高,Fiber Optic Association,https://www.foa.org,,
云计算网络,2 Gbps,5 Gbps,高,阿里巴巴,https://www.alibaba.com,,
光纤链路（EOL）,750 Mbps,3 Gbps,高,百度,https://www.baidu.com,,
4G网络,50 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
量子通信网络,不确定,不确定,高,西南交通大学,https://www.swjtu.edu.cn,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
光纤到大楼（FTTB）,100 Mbps,500 Mbps,中,京东云,https://www.jdcloud.com/,,
下一代移动通信（6G）,500 Mbps,1.2 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
固定无线接入（FWA）,50 Mbps,200 Mbps,中,中国广电,https://www.cgtn.com/,,
光纤无源接入（PON）,100 Mbps,1 Gbps,高,Angelia Tech,https://www.angeliatech.com/,,
LTE-Advanced,75 Mbps,450 Mbps,中,联想集团,https://www.lenovo.com/,,
毫米波（5G）,1 Gbps,2 Gbps,高,高通科技,https://www.qe.com/,,
卫星光纤接入,30 Mbps,700 Mbps,中,中国空间技术研究院,http://www.cast.cn/,,
超融合网络,60 Mbps,300 Mbps,高,阿里巴巴集团,https://www.alibaba.com/,,
量子通信网络,20 Mbps,200 Mbps,高,上海交通大学,http://www.sjtu.edu.cn/,,
宽带接入网络,40 Mbps,150 Mbps,中,腾讯云,https://cloud.tencent.com/,,
IPv6网络,100 Mbps,500 Mbps,高,网宿科技,http://www.wangsu.com/,,
3D无线网络,150 Mbps,800 Mbps,中,百度智能云,https://cloud.baidu.com/,,
基于人工智能的网络管理,1 Gbps,1 Gbps,高,杭州人工智能研究中心,http://www.hzairc.com/,,
网络切片技术,200 Mbps,1 Gbps,中,电信研究院,http://www.cnii.com.cn/,,
边缘计算网络,100 Mbps,500 Mbps,高,物联网开放平台,http://www.iot.org.cn/,,
深度学习优化网络,50 Mbps,300 Mbps,中,华为云,https://www.huaweicloud.com/,,
自适应宽带网络,75 Mbps,375 Mbps,高,亚马逊AWS,https://aws.amazon.com/,,
热带地区无线接入,10 Mbps,100 Mbps,中,太平洋宽带运营商,http://www.pacificbroadband.com/,,
光纤到户（FTTH）,250 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
4G LTE,50 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
双纤光缆接入,100 Mbps,500 Mbps,高,中兴通讯,https://www.zte.com.cn/,,
MVNO网络,10 Mbps,75 Mbps,低,各类MVNO提供商,https://www.mvnob.org/,,
星链卫星接入,50 Mbps,300 Mbps,高,SpaceX,https://www.spacex.com/,,
光纤波分复用,200 Mbps,800 Mbps,中,光通信协会,https://www.ofcconference.org/,,
5G毫米波网络,300 Mbps,2 Gbps,高,华为技术,https://www.huawei.com/,,
专用光纤链路,2 Gbps,2 Gbps,高,阿里云,https://www.aliyun.com,,
固定无线接入,30 Mbps,100 Mbps,中,联通云,https://www.chinaunicom.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,中,IT之家,https://www.ithome.com/,,
SD-WAN,100 Mbps,250 Mbps,中,思科系统,https://www.cisco.com/,,
多点传送网络,15 Mbps,200 Mbps,高,百度云,https://cloud.baidu.com/,,
开放网络接入,5 Mbps,50 Mbps,低,我国各地区政府网站,https://www.gov.cn/,,
长途光纤传输,500 Mbps,1.5 Gbps,高,中国电网,https://www.sgcc.com.cn/,,
边缘计算网络,1 Gbps,1 Gbps,高,京东云,https://www.jdcloud.com/,,
分布式光纤网络,750 Mbps,750 Mbps,高,东方电信,http://www.easttelecom.com/,,
卫星广播接入,5 Mbps,20 Mbps,中,环球电视网,http://www.globaltv.com/,,
社区光纤网络,200 Mbps,900 Mbps,中,地方通信公司,https://www.localisp.com/,,
光纤到户（FTTH）,100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
毫米波通信,500 Mbps,2 Gbps,中,中兴通讯,https://www.zte.com.cn/,,
光纤分布式天线系统（DAS）,300 Mbps,600 Mbps,高,HTC科技,https://www.htc.com/,,
非对称数字用户线（ADSL）,1 Mbps,24 Mbps,中,中国联通,https://www.chinaunicom.com/,,
低轨卫星通信,15 Mbps,200 Mbps,中,OneWeb,https://www.oneweb.world/,,
3GPP 5G NR,100 Mbps,1 Gbps,高,国际电信联盟(ITU),https://www.itu.int/,,
小型基站,50 Mbps,300 Mbps,中,清华大学,https://www.tsinghua.edu.cn/,,
智能家居网络,20 Mbps,100 Mbps,低,小米公司,https://www.mi.com/,,
长距离光纤通信,2 Gbps,10 Gbps,高,阿里巴巴,https://www.alibaba.com/,,
高速移动宽带,40 Mbps,500 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
量子通信,特定,特定,高,北京量子信息科学研究院,https://www.quantum.bj/,,
宽带无线接入,10 Mbps,80 Mbps,中,百度,https://www.baidu.com/,,
长期演进（LTE）,50 Mbps,150 Mbps,中,联通,https://www.chinaunicom.com/,,
智能光缆,300 Mbps,1.5 Gbps,高,光纤光缆技术研究中心,https://www.fibertech.com/,,
卫星广域网,25 Mbps,150 Mbps,中,SES Networks,https://www.ses.com/,,
量子安全通信,特定,特定,高,中国科学院,https://www.cas.cn/,,
无线局域网（WLAN）,750 Mbps,3.5 Gbps,中,华为技术,https://www.huawei.com,,
边缘云计算,200 Mbps,1 Gbps,高,亚马逊云科技,https://aws.amazon.com/,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
无线路由（Wi-Fi 5）,600 Mbps,3.5 Gbps,中,小米科技,https://www.mi.com,,
DSL,20 Mbps,80 Mbps,低,世纪互联,https://www.centurylink.com,,
LTE (4G),75 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com,,
10G PON,10 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn,,
移动边缘计算（MEC）,150 Mbps,500 Mbps,高,华为技术,https://www.huawei.com,,
致密光纤网络,900 Mbps,5 Gbps,高,Fiber Optic Association,https://www.foa.org,,
光纤分配网络（ODN）,1 Gbps,1 Gbps,中,阿里巴巴,https://www.alibaba.com,,
云计算平台接入,1.5 Gbps,4 Gbps,高,腾讯云,https://cloud.tencent.com,,
Wi-Fi 6E,1 Gbps,9.8 Gbps,中,三星电子,https://www.samsung.com,,
卫星宽带接入,30 Mbps,300 Mbps,中,OneWeb,https://www.oneweb.world,,
光纤接入设备（ONT）,400 Mbps,2.5 Gbps,高,思科系统,https://www.cisco.com,,
超低延迟网络,1000 Mbps,10 Gbps,高,网易云,https://cloud.163.com,,
5G小基站,200 Mbps,1.5 Gbps,中,中国移动,https://www.chinamobileltd.com,,
数字广播接入,25 Mbps,150 Mbps,低,网易科技,https://tech.163.com,,
蓝牙网络扩展,10 Mbps,40 Mbps,低,Bluetooth SIG,https://www.bluetooth.com,,
增强现实接入网络（AR）,50 Mbps,500 Mbps,中,字节跳动,https://www.bytedance.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com,,
4G LTE,50 Mbps,150 Mbps,中,全球移动通信系统协会 (GSMA),https://www.gsma.com,,
毫米波5G,200 Mbps,3 Gbps,高,Verizon,https://www.verizon.com,,
光纤分布式接入,100 Mbps,600 Mbps,高,AT&T,https://www.att.com,,
光纤环网,500 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn,,
无线网桥,30 Mbps,150 Mbps,中,思科系统,https://www.cisco.com,,
基于光纤的分布式传感网络,特定,特定,高,东南大学,https://www.seu.edu.cn,,
DSL极速接入,15 Mbps,90 Mbps,中,中国信息通信研究院,https://www.caiw.gov.cn,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,Intel,https://www.intel.com,,
光纤复用技术,800 Mbps,2 Gbps,高,中国科学院,https://www.cas.cn,,
超宽带（UWB）,30 Mbps,300 Mbps,中,华三通信,https://www.h3c.com,,
相干光通信,特定,特定,高,中国科学技术大学,https://www.ustc.edu.cn,,
地面移动卫星通信,25 Mbps,100 Mbps,中,中国航天科技集团公司,https://www.cast.cn,,
超导光纤技术,400 Mbps,1.5 Gbps,高,MIT Technology Review,https://www.technologyreview.com,,
混合光纤接入,150 Mbps,2 Gbps,高,华为技术,https://www.huawei.com,,
智慧家庭网络基础设施,100 Mbps,500 Mbps,中,京东科技,https://www.jd.com,,
量子通信网络,特定,特定,高,清华大学,https://www.tsinghua.edu.cn,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
Wi-Fi 6E,2 Gbps,9.6 Gbps,中,小米科技,https://www.mi.com,,
多制式基站,50 Mbps,300 Mbps,中,联通科技,https://www.chinaunicom.com,,
NBN（国家宽带网络）,40 Mbps,100 Mbps,高,澳大利亚政府,https://www.nbnco.com.au,,
电力线通信,100 Mbps,500 Mbps,中,国家电网,https://www.sgcc.com.cn,,
混合光纤同轴网络（HFC）,250 Mbps,800 Mbps,低,Bell Canada,https://www.bell.ca,,
星际互联网,500 Mbps,1.5 Gbps,高,SpaceX Starlink,https://www.starlink.com,,
边缘计算网络,100 Mbps,1 Gbps,中,云栖大会,https://www.aliyun.com,,
量子互联网,特定,特定,极高,MIT媒体实验室,https://www.media.mit.edu,,
下一代无线技术,150 Mbps,1.2 Gbps,高,高通公司,https://www.qualcomm.com,,
LPWAN（低功耗广域网络）,5 Mbps,20 Mbps,中,LoRa Alliance,https://lora-alliance.org,,
TDR技术（时间域反射技术）,10 Mbps,40 Mbps,高,华为研发,https://www.huawei.com,,
激光通信技术,600 Mbps,2 Gbps,高,清华大学,https://www.tsinghua.edu.cn,,
SD-WAN（软件定义广域网络）,150 Mbps,1 Gbps,中,思科系统,https://www.cisco.com,,
FTTX（光纤到一切）,2 Gbps,5 Gbps,高,阿尔卡特朗讯,https://www.alcatel-lucent.com,,
802.11ax（Wi-Fi 6）,1.5 Gbps,9.5 Gbps,高,TP-Link,https://www.tp-link.com,,
5G毫米波网络,400 Mbps,4 Gbps,高,Verizon,https://www.verizon.com,,
全光网络,2 Gbps,10 Gbps,高,光纤协会,https://www.foa.org,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,电信研究院,https://www.citr.cn/,,
固定无线接入（FWA）,100 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
无线局域网（WLAN）,600 Mbps,2 Gbps,高,小米科技,https://www.mi.com/,,
混合光纤同轴电缆（HFC）,50 Mbps,900 Mbps,中,中国电信,https://www.chinatelecom-h.com/,,
