人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
智能健身教练,健康管理、个性化训练,健身房与用户合作,健身爱好者,Fitbit、Nike,已商用,提升用户健身效果与积极性,提供个性化健身计划与实时反馈,健康与健身,健身房与科技公司合作,健康服务,Fitbit、Nike,智能健身教练利用AI帮助用户制定个性化健身计划，提升健身效果。,健康生活网,https://www.healthyliving.com,2024-10-17,,,,
农业智能监控系统,数据分析、物联网,农村合作社与科技公司合作,农业生产,华为、北京农业大学,在研,提高农作物产量和质量,对农业环境进行实时监测,农业科技,农村合作社与科技公司合作,农业,华为、北京农业大学,农业智能监控系统通过实时数据分析，提高农作物的产量和质量。,科技日报,http://www.stdaily.com/,2024-10-17,,,,
智能金融风险控制系统,机器学习、数据挖掘,金融机构内部审核,金融行业,阿里云、腾讯,在研,识别和规避潜在金融风险,利用AI进行交易数据分析,金融科技,金融机构与科技公司合作,金融,阿里云、腾讯,智能金融风险控制系统通过数据分析，帮助金融机构识别和规避潜在风险。,中国证券报,http://www.cs.com.cn/,2024-10-17,,,,
智能供应链管理系统,供应链优化、数据预测,企业内部优化,制造业,SAP、IBM,已商用,提升供应链效率，降低成本,预测库存与需求变化,制造业与物流,企业与科研机构合作,制造与物流,SAP、IBM,智能供应链管理系统通过数据预测，提升供应链的效率和准确性。,物流技术与应用,http://www. logisticsjournal.com/,2024-10-17,,,,
智能城市环境监测系统,物联网、大数据分析,市政管理与公众服务,城市居民,城市管理局、清华大学,在研,监测城市环境与空气质量,对城市环境进行实时监测和数据分析,城市管理与环保,政府与高校合作,公共服务,城市管理局、清华大学,智能城市环境监测系统通过实时数据分析，帮助城市管理提供更优质的服务。,国土资源部,http://www.mnr.gov.cn/,2024-10-17,,,,
智能安防监控系统,视频分析、视觉识别,公共安全,社区居民,海康威视、宇视科技,已商用,提升公共安全与犯罪预防,对监控视频进行智能分析,公共安全,安防企业与政府合作,安防,海康威视、宇视科技,智能安防监控系统通过视频分析，提升公共安全和犯罪预防能力。,安防门户,http://www.secutr.com/,2024-10-17,,,,
智能教育辅助系统,在线教育、数据分析,学校与教育机构,学生,字节跳动、好未来,在研,提升学习效果和个性化教育,利用AI进行学习数据分析,教育科技,教育机构与科技公司合作,教育,字节跳动、好未来,智能教育辅助系统通过数据分析，提供个性化的学习建议和评估。,教育时报,http://www.jyyzz.net/,2024-10-17,,,,
健康管理智能助手,健康监测、数据分析,医院与科技公司合作,老年用户,京东健康、平安好医生,在研,提供个性化健康管理与预警,实时健康数据监测与分析,健康管理,医院与科技公司合作,医疗健康,京东健康、平安好医生,健康管理智能助手通过健康数据分析，提供个性化健康管理服务。,健康界,http://www.cn-healthcare.com/,2024-10-17,,,,
智能气候变化预测系统,大数据分析、气候模型,研究机构及政府,气象部门,国家气象局、清华大学,在研,提升气象预测的准确性,利用AI模型进行气候数据分析,气象与环保,研究机构与政府合作,环境保护,国家气象局、清华大学,智能气候变化预测系统通过气候数据分析，提升气象预测的准确性。,气象局,http://www.nmc.cn/,2024-10-17,,,,
智能法律合规系统,法律文书分析、自动化,法律机构,律师与法务人员,法大大、华律网,在研,提高法律审核的效率,利用AI自动分析法律文书,法律科技,法律机构与科技公司合作,法律,法大大、华律网,智能法律合规系统通过自动化扫描和分析法律文书，提高审核效率。,法律出版物,http://www.legalnews.cn/,2024-10-17,,,,
智能农业系统,精准农业、作物监测,农业科技企业合作,农业生产,农大、华为,在研,提高作物产量，优化资源配置,利用AI分析气候与土壤数据,农业技术,农业科技企业合作,农业,农大、华为,智能农业系统利用AI技术分析气候和土壤数据，提高作物产量和资源利用效率。,农业科技在线,http://www.agritechonline.com,2024-10-17,,,,
智能金融助手,机器学习、数据挖掘,金融机构内部合作,个人与企业用户,支付宝、平安集团,已商用,提升投资决策效率,分析市场数据与用户行为,金融服务,金融机构内部合作,金融服务,支付宝、平安集团,智能金融助手利用AI分析市场数据，帮助用户做出更好的投资决策。,金融界,https://www.jrj.com,2024-10-17,,,,
智能推荐引擎,个性化推荐、机器学习,电商平台内部合作,在线购物用户,亚马逊、京东,已商用,提升用户购物体验,分析用户购买历史与浏览行为,电商,电商平台内部合作,零售,亚马逊、京东,智能推荐引擎通过AI算法分析用户行为，提供个性化的购物建议。,电商观察网,https://www.ecommercewatch.com,2024-10-17,,,,
语音翻译系统,自然语言处理、语音识别,跨国交流合作,国际旅行者,谷歌、腾讯,已商用,突破语言障碍,实时翻译语音对话,语言服务,国际科技企业合作,科技服务,谷歌、腾讯,语音翻译系统通过AI实现多语言实时翻译，方便国际旅行者沟通。,环球网,https://www.huanqiu.com,2024-10-17,,,,
骨骼识别监测系统,计算机视觉、健康监测,医疗机构与科技公司合作,骨科患者,清华大学、华大基因,在研,早期发现骨骼疾病,利用AI进行骨骼图像分析,医疗健康,医疗机构与科技公司合作,医疗健康,清华大学、华大基因,骨骼识别监测系统通过AI技术及时分析骨骼图像，辅助医生诊断骨骼疾病。,医学论坛网,http://www.medforum.org,2024-10-17,,,,
智能文档处理系统,自然语言处理、自动化文档,企业内部团队合作,法律、财务等,SAP、Oracle,已商用,减少人工文档处理时间,自动化文档审查、归档与管理,企业服务,企业内部团队合作,信息技术,SAP、Oracle,智能文档处理系统运用AI技术自动化文档处理，提高工作效率。,企业IT资讯网,https://www.enterprisetia.com,2024-10-17,,,,
情感分析系统,自然语言处理、数据分析,市场研究与品牌管理,企业品牌团队,字节跳动、百度,已商用,提升品牌与客户互动,分析社交媒体数据与用户反馈,市场营销,企业与品牌协作,商业智能,字节跳动、百度,情感分析系统通过AI技术分析社交媒体数据，帮助企业提升品牌形象和客户满意度。,市场营销观察网,https://www.marketingwatch.com,2024-10-17,,,,
智能环保监测系统,物联网、数据分析,政府与环保组织合作,公众和企业,环境保护署、清华大学,在研,提高环境监测的准确性与效率,利用传感器与AI技术进行实时环境监测,环保技术,政府与环保组织合作,环保,环境保护署、清华大学,智能环保监测系统通过AI与物联网技术实时监测环境质量，帮助决策。,环保在线,http://www.environmentalonline.com,2024-10-17,,,,
智能体育分析系统,运动数据分析、机器学习,体育团队与教练合作,运动员与教练,耐克、阿迪达斯,在研,提高运动员训练效果,分析运动员表现与对手数据,体育科技,体育团队与科技公司合作,体育,耐克、阿迪达斯,智能体育分析系统通过AI技术分析运动员表现和对手数据，帮助教练优化训练方案。,体育科技论坛,https://www.sportstechforum.com,2024-10-17,,,,
智能农业系统,精准农业、数据分析,农场与科技公司合作,农业,博鳌国际农业科技园、以色列农业科技公司,在研,提高农作物产量与资源利用率,AI监测土壤状况与作物健康,农业科技,农场与科技公司合作,农业,博鳌国际农业科技园、以色列农业科技公司,智能农业系统通过AI技术监测土壤和作物健康，帮助农民优化管理。,AgFunder Network Partners,https://agfundernews.com,2024-10-17,,,,
智能金融分析系统,机器学习、数据分析,金融机构合作,金融投资者,摩根大通、华尔街,已商用,提升投资决策的准确性和效率,实时数据分析与风险评估,金融科技,金融机构合作,金融,摩根大通、华尔街,智能金融分析系统通过AI进行实时数据分析，帮助投资者做出更精准的决策。,金融时报,https://www.ft.com,2024-10-17,,,,
智能医疗助手,自然语言处理、数据挖掘,医院与应用开发商合作,医生与患者,普华永道、辉瑞,在研,提高患者照护质量,提供健康咨询和个性化建议,医疗健康,医院与应用开发商合作,医疗健康,普华永道、辉瑞,智能医疗助手利用AI技术提供个性化健康咨询，协助医生做出决策。,医学主流期刊,https://www.jama.com,2024-10-17,,,,
个性化学习系统,教育科技、个性化学习,学校与教育科技企业合作,学生,哈佛大学、Coursera,在研,提升学习效果与个性化程度,分析学生学习数据，提供个性化课程,教育科技,学校与教育科技企业合作,教育,哈佛大学、Coursera,个性化学习系统通过AI分析学生数据，为每位学生提供定制化学习路径。,教育技术协会,https://www.edtechnews.com,2024-10-17,,,,
环境监测系统,物联网、数据分析,政府与环保组织合作,城市居民,联合国环境规划署、地方政府,在研,改善环境质量,实时监测空气与水质,环保,政府与环保组织合作,环境保护,联合国环境规划署、地方政府,环境监测系统通过AI与物联网技术实时监测环境变化，确保公共健康。,中国环境保护部,http://www.mee.gov.cn,2024-10-17,,,,
灾害预警系统,数据分析、深度学习,政府与科研机构合作,受灾地区居民,日本气象厅、应急管理部,在研,提前预警自然灾害,分析气象数据预测灾害发生,应急管理,政府与科研机构合作,应急管理,日本气象厅、应急管理部,灾害预警系统通过AI预测自然灾害，帮助政府和居民提前做好应对准备。,国际灾害应对中心,https://www.unisdr.org,2024-10-17,,,,
