系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
空天物流管理系统,管理系统,分布式云架构,优化物流调配能力,大数据环境,运输监控、路径优化,物流科技协会,http://www.logistics.org.cn,2024-10-08,,,,,,,,,,,
空天信息安全系统,安全系统,多层防护架构,强大的防御能力,专用安全环境,信息加密、入侵检测,网络信息安全局,http://www.csa.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,模块化架构,自学习算法支持,云端数据平台,模拟决策、情境分析,人工智能研究院,http://www.aiml.org.cn,2024-10-08,,,,,,,,,,,
空天航天器跟踪系统,跟踪系统,实时反馈架构,精准定位能力,卫星通信网络环境,轨道分析、状态监测,航天科技集团,http://www.casc.cn,2024-10-08,,,,,,,,,,,
空天能源管理系统,管理系统,综合能源平台,效率分析与优化,IoT设备和云平台,能源分配、实时监控,新能源与可再生能源办公室,http://www.nea.gov.cn,2024-10-08,,,,,,,,,,,
空天地面监视网络,监视系统,网格化架构,广域覆盖能力,5G和卫星网络,移动目标监测、数据聚合,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天研究共享平台,共享平台,开放式架构,高效协作能力,在线协作环境,科研数据共享、项目协作,科研管理机构,http://www.science.gov.cn,2024-10-08,,,,,,,,,,,
空天态势监测系统,监测系统,混合云架构,全天候覆盖监测,私有云环境,态势感知、威胁分析,国家安全部,https://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天科学实验平台,实验平台,模块化系统架构,多元数据采集能力,实验室环境,科学数据收集、实时分析,中国科学院,http://www.cas.cn,2024-10-08,,,,,,,,,,,
远程通讯干扰管理系统,管理系统,基于微服务架构,快速反应干扰处理,虚拟化基础设施,频谱管理、干扰识别,信息产业部,https://www.miit.gov.cn,2024-10-08,,,,,,,,,,,
无源探测空中监视系统,监视系统,地面与空中联动架构,高精度目标识别,综合监控中心,目标追踪、数据融合,空军航空大学,http://www.caa.edu.cn,2024-10-08,,,,,,,,,,,
低轨卫星数据传输系统,数据传输系统,互联网连接架构,低延迟、高吞吐量,全球网络环境,数据重新调度、实时传输,中国卫星导航系统管理办公室,http://www.cgs.gov.cn,2024-10-08,,,,,,,,,,,
空天数据共享与协作平台,协作平台,云服务架构,高效协同工作,企业云环境,数据共享、用户身份管理,云计算协会,https://www.cloudassociation.org,2024-10-08,,,,,,,,,,,
空中探测与救援系统,救援系统,实时动态架构,精准位置定位,卫星网络环境,救援任务分配、状态更新,红十字会,https://www.redcross.org.cn,2024-10-08,,,,,,,,,,,
智能化空中交通监测系统,监测系统,人工智能架构,智能分析与决策,高性能计算环境,交通流量预测、异常检测,国际民航组织,https://www.icao.int,2024-10-08,,,,,,,,,,,
卫星遥感预测与分析系统,数据分析系统,分布式云架构,多源数据高效处理,云计算环境,气象预测、环境监测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天判断与决策系统,决策支持系统,协同决策架构,实时决策支持,集成化环境,数据分析、策略生成,战略研究机构,https://www.ssap.com.cn,2024-10-08,,,,,,,,,,,
空天环境监测与评估系统,监测系统,分层架构,实时环境分析与预测,混合云环境,污染数据监测、环境影响评估,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,多层次架构,快速决策模拟能力,边缘计算环境,数据分析、模拟预测,人工智能研究中心,http://www.ai-research.org,2024-10-08,,,,,,,,,,,
空天监视与侦察系统,侦察系统,自适应架构,多维度数据融合与分析,卫星网络平台,目标识别、实时监控,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天探测与救援协调系统,协调系统,集成化架构,效率高的多维指挥能力,大数据平台,救援资源调配、现场指挥,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天能源管理系统,管理系统,分布式架构,智能化能源调度,智能电网环境,能源分配、使用状态监控,能源局,http://www.nea.gov.cn,2024-10-08,,,,,,,,,,,
空天气象预测系统,预测系统,集成架构,高效气候模拟与预测,云计算环境,气象数据收集、气候模型运行,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天农业监测与管理系统,管理系统,跨域架构,精准农业数据分析能力,物联网环境,作物生长监测、农业经营决策,农业部,http://www.moa.gov.cn,2024-10-08,,,,,,,,,,,
空天智能交通管理系统,交通管理系统,智能实时架构,全局交通流量优化,车联网环境,交通信号控制、车流监测,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
空天安防监控系统,安防监控系统,网络化分布架构,实时视频监控与对比分析,安全监控网络环境,入侵检测、视频分析,公安部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天生物多样性监测系统,监测系统,多源监测架构,生态数据实时跟踪分析,云平台环境,生物种群监测、栖息地评估,自然资源部,http://www.mnr.gov.cn,2024-10-08,,,,,,,,,,,
空天监视与控制系统,监视系统,集成化平台架构,实时监控与数据处理,云计算与边缘计算结合环境,空域监视、目标识别,国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,环境监测系统,基于物联网的架构,高频率实时数据采集与分析,分布式计算环境,环境参数监测、灾害预测,气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
航天任务评估系统,评估系统,模块化分析架构,精准任务评估与风险分析,HPC云架构,任务可信评估、应急响应,中国航天科技集团公司,http://www.spacechina.com,2024-10-08,,,,,,,,,,,
空天态势感知系统,情报分析系统,开源软件架构,复杂数据分析与情报融合,虚拟机环境,多源数据整合、图形化展示,信息技术研究所,http://www.itresearch.com.cn,2024-10-08,,,,,,,,,,,
空天巡逻无人机系统,无人驾驶系统,自适应控制架构,长时间续航与自主飞行,混合现实环境,自主巡逻、实时图像传输,无人机行业协会,http://www.droneassociation.org,2024-10-08,,,,,,,,,,,
空天数据融合平台,数据融合系统,云边协同架构,海量数据融合与存储,云服务平台,数据清洗、可视化分析,大数据研究中心,http://www.databig.org,2024-10-08,,,,,,,,,,,
空天战略指挥系统,指挥控制系统,多层次网络架构,实时指挥与决策支持,专用专网环境,实时信息共享、快速响应,国防科技大学,http://www.ndu.edu.cn,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全系统,协同防御架构,多层次安全监测与应急响应,混合云环境,漏洞监测、蓝军演练,网络安全研究中心,http://www.cybersecurity.org.cn,2024-10-08,,,,,,,,,,,
空天综合指挥调度系统,调度系统,中心化与去中心化结合架构,高效资源调度与决策,LAMP环境,资源管理、调度优化,国家运输部门,http://www.transport.gov.cn,2024-10-08,,,,,,,,,,,
空天技术创新实验平台,实验系统,开放式创新架构,支持多种技术测试与验证,物理实验室环境,技术实验、数据记录,科学技术部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空间安全监测系统,监测系统,三层架构,高实时性监测能力,混合云环境,空间物体监测、碰撞预警,国家空间局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天数据融合系统,数据融合系统,多源数据集成架构,整合能力强，响应迅速,边缘计算环境,数据同步、交叉分析,中国科学院,http://www.cas.cn,2024-10-08,,,,,,,,,,,
卫星通讯指挥系统,指挥系统,集中式管理架构,稳定性高，覆盖范围广,虚拟专用网络环境,指挥调度、实时通讯,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
动态遥感监控系统,监控系统,模块化分布式架构,数据获取迅速，处理实时,固态硬盘多级缓存环境,实时数据监控、自动警报,环境监测中心,http://www.cnemc.cn,2024-10-08,,,,,,,,,,,
智能空天调查系统,调查系统,人机交互架构,智能化高，易用性强,公共云环境,自动数据分析、智能报告生成,科学技术部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
基于云的无人机控制系统,控制系统,云端控制架构,响应速度快，控制精准,高可用云环境,无人机任务规划、飞行状态监控,中国无人机协会,http://www.china-uav.org,2024-10-08,,,,,,,,,,,
天基精确测绘系统,测绘系统,整体协同架构,测量精度高，数据处理能力强,分布式计算环境,实时数据测绘、精准定位,地理信息局,http://www.ngcc.cn,2024-10-08,,,,,,,,,,,
多维多域数据分析平台,分析平台,服务导向架构,数据分析效率高，兼容性强,DevOps环境,数据可视化、交互式分析,数据科学研究院,http://www.datascience.org.cn,2024-10-08,,,,,,,,,,,
空天态势感知系统,感知系统,全息监测架构,即时反应，覆盖范围广泛,高安全性环境,空气质量监测、实时预警,气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
智能分析与决策支持系统,支持系统,智能推理架构,决策支持准确，操作直观,多云环境,智能决策、风险评估,技术创新中心,http://www.innovation.cn,2024-10-08,,,,,,,,,,,
