名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注
智能窗帘, IKEA,FYRTUR,五年保修,IKEA Home Smart,IKEA,ARM Cortex-M0,Nordic nRF52832,APP与语音控制,家居舒适助手,自动调节光线与隐私,家庭生活,2022-06-12,家居设计展,https://www.ikea.com,,
智能温控器,Nest,Nest Learning Thermostat,五年保修,Nest OS,Google,ARM Cortex-A9,Qualcomm QCC5100,触控与APP,家庭环境调节器,自动学习用户习惯，节能减排,家庭供暖与制冷,2022-09-07,能源管理论坛,https://www.nest.com,,
智能按摩椅,Human Touch,Novo XT,两年保修,Hållbar Tech,Human Touch,ARM Cortex-A53,Allwinner H3,APP控制与触控,健康恢复助手,多点舒压，个性化按摩体验,家庭放松,2023-07-05,健康护理设备展,https://www.humantouch.com,,
智能语音助手,百度,XiaoDu,一年保修,DuerOS,百度公司,Arm Cortex-A55,Rockchip RK3328,语音与触控,家庭助手,直接回答问题及执行指令，智能家居控制,家庭生活,2022-12-01,科技遥观,https://www.baidu.com,,
智能洗衣机,LG,TWINWash,五年保修,LG SmartThinQ,LG电子,ARM Cortex-A72,NXP LPC1768,APP与触控,洗衣管理助手,智能投放洗涤剂，节能洗涤,家庭洗衣,2021-08-14,家电使用技巧,https://www.lg.com,,
智能空气炸锅,飞利浦,HD9650,两年保修,Airfryer App,飞利浦公司,ARM Cortex-M3,Texas Instruments CC3220,APP控制与触控,健康烹饪助手,健康炸制，智能食谱推荐,家庭厨房,2023-06-30,厨房电器科技网,https://www.philips.com,,
智能健身设备,Peloton,Peloton Bike+,一年保修,Peloton OS,Peloton Interactive,Intel Celeron N4120,STMicroelectronics STM32H743,触控与语音,健身教练助手,提供健身课程，实时监测进度,家庭健身,2022-10-14,健身趋势研究,https://www.peloton.com,,
智能植物生长灯,VIVOSUN,VIVOSUN LED Grow Light,两年保修,VIVOSUN Smart Lighting,VIVOSUN,ESP32,Microchip MCP3424,APP控制,植物养护助手,为植物提供适宜的光照与养分,家庭种植,2023-01-25,园艺与科技,https://www.vivosun.com,,
智能水质监测系统,Blue Ocean,AquaSense 2023,两年保修,AquaOS,蓝海科技股份有限公司,ARM Cortex-M7,Texas Instruments CC3200,APP控制,水质监控助手,实时监测水质，提醒水质异常,家庭饮水安全,2022-05-01,家庭生活科技杂志,https://www.homelifetech.com,,
智能宠物喂食器,PetSafe,Smart Pet Feeder,一年保修,PetSafe OS,PetSafe公司,ARM Cortex-M4,Jasper Wireless Module,APP控制,宠物管理工具,定时喂食，监控饮食量,宠物喂养,2023-02-15,宠物用品展览会,https://www.petsafe.net,,
智能家庭音响系统,Sonos,Sonos One,五年保修,Sonos OS,Sonos Inc.,ARM Cortex-A53,Qualcomm Snapdragon,语音控制和APP,音响管理助手,高保真音质，智能家居控制,家庭娱乐,2021-06-20,家庭影音周刊,https://www.sonos.com,,
智能窗帘控制系统,Lutron,Sivoia QS,三年保修,LutronOS,Lutron Electronics,ARM Cortex-M3,NXP LPC824,APP控制与语音,窗帘智能助手,定时开关窗帘，光线调节,家庭遮阳,2024-01-01,智能家居产业报告,https://www.lutron.com,,
智能冰箱,Samsung,RF28R7351SG,五年保修,SmartThings,三星电子,Exynos 7885,Broadcom BCM43438,触控与APP,厨房助手,智能库存管理，食材保鲜监测,家庭厨房,2023-03-15,家电消费报告,https://www.samsung.com,,
智能洗衣机,LG,WM3900HWA,十年保修,LG ThinQ,LG电子,ARM Cortex-A72,Qualcomm Snapdragon,APP控制与语音,洗涤管理助手,智能洗涤模式，高效能节水,家庭洗衣,2024-04-10,家电科技趋势,https://www.lg.com,,
智能空气净化器,Dyson,HP07,三年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M4,Texas Instruments CC2650,APP控制与语音,空气质量监测工具,实时空气质量监测，自动调节,家庭健康,2022-12-01,环境科技期刊,https://www.dyson.com,,
智能防盗锁,August,Smart Lock Pro,三年保修,August OS,August Home,ARM Cortex-A9,Silicon Labs EFR32MG1,APP控制与指纹识别,门锁管理工具,无钥匙进入，实时安全监测,家庭安防,2023-06-10,智能家居展览,https://www.august.com,,
智能烤箱,Whirlpool,WFE975H0HZ,五年保修,Whirlpool Connect,惠而浦公司,ARM Cortex-A53,NXP IMX6ULL,触控与APP,厨房智能助手,智能食谱推荐，精准火力调节,家庭厨房,2022-08-30,家电市场观察,https://www.whirlpool.com,,
智能洗杯机,Xiaomi,LXH01,一年保修,MIUI,小米科技,ARM Cortex-M3,Espressif ESP8266,APP控制,餐具清洁助手,快速清洗杯具，杀菌消毒,家庭餐饮,2023-07-20,消费电子周刊,https://www.mi.com,,
智能育儿监控器,Nanit,Nanit Pro,两年保修,Nanit OS,Nanit Inc.,Intel Atom,Ambarella A12,APP控制,育儿监测助手,实时视频监控，数据分析育儿情况,家庭育儿,2023-05-15,育儿科技论坛,https://www.nanit.com,,
智能饮水机,AquaTru,AquaTru 4-Stage,三年保修,AquaTru OS,AquaTru LLC,ARM Cortex-A7,Microchip MCP2221,APP控制,水质管理工具,过滤水质，提供实时数据,家庭饮水,2023-09-04,生物科技研究,https://www.aquatru.com,,
智能家居控制中心,Google Nest,Nest Hub Max,三年保修,Google Fuchsia,谷歌,ARM Cortex-A72,Qualcomm Snapdragon 7c,语音控制与触摸,智能家居监管助手,中央控制系统，智能家居设备管理,家庭自动化,2023-10-12,智能设备市场调查,https://store.google.com,,
智能窗帘控制系统,IKEA,FYRTUR,三年保修,IKEA OS,IKEA,ARM Cortex-M4,Nordic nRF52840,APP控制与语音助手,智能居家助手,自动调节窗帘，环境光感应,家庭卧室,2022-11-01,智能家居论坛,https://www.smart-home.com,,
智能冰箱,海尔,BCD-518WDE,三年保修,Haier OS,海尔集团,ARM Cortex-A53,Realtek RTL8187,触控与APP,食品管理工具,智能温控，过期提醒,家庭厨房,2022-04-20,家电市场报告,https://www.applianceworld.com,,
智能电饭煲,美的,MB-FS5017,一年保修,Midea OS,美的集团,ARM Cortex-A7,SILICON Labs EFR32MG1,APP控制与语音,健康烹饪助手,智能识别米种，独立预约,家庭烹饪,2023-02-10,家居科技杂志,https://www.homekitchenmag.com,,
智能监控摄像头,小米,Xiaomi AI Camera,一年保修,MIUI For Home,小米科技,Ambarella A12,Realtek RTL8189,APP控制，语音助手,家庭安全监测,全景监控，移动侦测,家庭安防,2022-08-21,科技产品评测,https://www.techreview.com,,
智能空气净化器,Dyson,TP01,两年保修,Dyson Link App,Dyson Ltd.,ARM Cortex-M0,MediaTek MT7688,触控与APP,空气质量监测,自动消灭过敏源，实时反馈,家庭卫生,2023-06-15,空气清新研究,https://www.dyson.com,,
智能洗衣机,LG,F4V5VY1W,十年保修,LG ThinQ,LG电子,ARM Cortex-A9,Texas Instruments CC3200,APP与语音控制,衣物护理助手,智能洗涤，自我清洁,家庭洗衣,2022-12-05,家电研究中心,https://www.lge.com,,
智能健身追踪器,Garmin,Forerunner 245,一年保修,Garmin OS,Garmin Ltd.,ARM Cortex-M4,Nordic nRF52833,触控与APP,运动表现监控工具,心率监测，GPS追踪,家庭运动,2022-10-10,运动科技开发,https://www.garmin.com,,
智能水质检测仪,TDS,TDS-3,一年保修,Zer0B,TDSSensors Inc.,Microchip PIC16F18323,Texas Instruments CC1110,触控与APP,饮水安全助手,实时水质监控，污染物检测,家庭饮水,2023-02-20,水质管理报告,https://www.tdssensors.com,,
智能按摩椅,PANASONIC,EP-MA70,两年保修,Panasonic OS,松下电器,ARM Cortex-A53,NXP LPC54114,APP和语音控制,健康放松助手,智能按摩定制，压力缓解,家庭放松,2023-05-30,健康家居市场,https://www.panasonic.com,,
智能随身翻译器,ili,ILI-3,一年保修,ili OS,ili Voice Inc.,ARM Cortex-M4,Qualcomm QCC3020,语音控制,语言沟通助手,瞬时翻译多种语言,家庭出行,2023-01-20,科技评价网站,https://www.ili.com,,
智能健身设备,Peloton,Peloton Bike+,两年保修,Peloton OS,Peloton Interactive,Intel Core i5,Intel UHD Graphics,触控与APP,健身指导助手,实时课程，健身数据分析,家庭健身,2023-04-10,健身行业报告,https://www.peloton.com,,
智能巧克力机,Chococube,CC-102,一年保修,Chococube OS,Chococube Inc.,ARM Cortex-M3,Espressif ESP8266,APP控制,美食制作助手,自动化巧克力制作,家庭厨房,2023-07-05,美食科技展,https://www.chococube.com,,
智能蔬菜种植盒,Click & Grow,Smart Garden 9,一年保修,Click & Grow OS,Click & Grow,ARM Cortex-M0,Microchip MCP2221,APP控制,园艺助手,自动浇水，植株监测,家庭园艺,2023-08-01,园艺科技研究,https://www.clickandgrow.com,,
智能温度计,Withings,Thermo,一年保修,Withings Health Mate,Withings,ARM Cortex-M3,Nordic nRF52832,APP和语音控制,健康监测工具,实时体温监测，历史数据分析,家庭健康,2022-05-16,健康监测报告,https://www.withings.com,,
智能沐浴系统,Moen,U by Moen,三年保修,自研OS,Moen Inc.,ARM Cortex-A53,Broadcom BCM4350,APP控制与语音控制,智能浴室助手,自定义水温与流量，远程控制,家庭浴室,2022-06-08,卫浴资讯网,https://www.bathroomnews.com,,
智能窗帘系统,Lutron,Sivoia QS,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M0,Atmel ATmega328,APP控制与遥控,家庭环境调节工具,自动调光与隐私保护，智能调节窗帘,家庭客厅,2023-02-22,智能家居杂志,https://www.smarthomejournal.com,,
智能冰箱,Samsung,Family Hub,五年保修,Tizen OS,三星电子,Exynos 7,Qualcomm Snapdragon 410,触摸与语音控制,食品管理工具,食品保鲜监测，智能菜单推荐,家庭厨房,2021-09-15,家电行业分析,https://www.applianceanalysis.com,,
智能空气净化器,Dyson,Pure Cool,三年保修,Dyson Link,Dyson Ltd.,ARM Cortex-A9,Texas Instruments CC2640R2F,APP控制与触摸控制,空气质量监测器,实时空气质量监测，自动调节风速,家庭环境,2022-04-01,家电技术论坛,https://www.appliance-techforum.com,,
智能咖啡机,Nespresso,Evo X,两年保修,自研OS,Nespresso S.A.,ARM Cortex-M4,Espressif ESP32,APP控制与一键启动,咖啡制作助手,个性化咖啡调配，远程启动,家庭厨房,2023-03-15,咖啡科技新闻,https://www.coffeenews.com,,
智能宠物喂食器,PetSafe,Smart Feed,两年保修,自研OS,PetSafe Brand,ARM Cortex-M0,Nordic nRF52840,APP控制,宠物管理工具,定时喂食，食量监测,家庭宠物管理,2023-01-20,宠物科技资讯,https://www.pettechnews.com,,
智能家庭影院,Sony,Xperia Home Theater,两年保修,Android TV,索尼公司,Intel Core i7,NVIDIA Tegra,语音控制与手势控制,娱乐管理助手,4K视频流，智能推荐内容,家庭娱乐,2022-10-10,影音设备评论,https://www.hometheaterreviews.com,,
智能家庭安防摄像头,Arlo,Pro 4,三年保修,自研OS,"Arlo Technologies, Inc.",ARM Cortex-A53,Ambarella H22,APP控制与语音控制,安全监控工具,1080P高清视频，实时警报,家庭安防,2023-08-19,安全科技报告,https://www.safetytechreport.com,,
智能网络音响,Bose,SoundLink Flex,五年保修,Bose OS,Bose Corporation,ARM Cortex-A53,Qualcomm QCC3020,语音控制与触摸控制,音频助手,高品质音效，无缝连接多设备,家庭娱乐,2021-11-25,音频设备评论,https://www.audioreview.com,,
智能壁炉,EcoSmart,Fireplace 140,两年保修,自研OS,EcoSmart Fire,ARM Cortex-M4,Texas Instruments CC2652R,APP控制与遥控,家庭气候调节器,智能温控与安全监测,家庭客厅,2022-12-01,家居设计资讯,https://www.homedesignnews.com,,
智能调光灯,Philips,Hue White & Color,两年保修,Philips Hue,Philips Lighting,ARM Cortex-M0+,Nordic nRF52810,APP控制与语音控制,灯光管理工具,多种色彩和亮度的调节，定时开关,家庭照明,2023-04-15,智能家居网,https://www.smarthome.com,,
智能花洒,Kohler,K-9245,五年保修,自研OS,Kohler Co.,ARM Cortex-A9,NXP LPC55S69,APP控制,卫浴助手,水流调节，温度监测,家庭浴室,2022-07-20,卫浴行业研究,https://www.bathindustry.com,,
智能电动牙刷,Oral-B,Genius X,两年保修,自研OS,Procter & Gamble,ARM Cortex-M3,Nordic nRF52832,APP控制与触控,口腔健康助手,刷牙习惯跟踪与反馈,家庭卫生,2023-09-01,健康家居报告,https://www.healthykitchen.com,,
智能鱼缸,Fluval,Aquarium 13.5,三年保修,自研OS,Fluval Aquatics,ARM Cortex-M4,Silicon Labs EFR32MG21,APP控制,水族箱监测器,水质监测与自动喂食,家庭观赏鱼管理,2023-10-10,水族行业动态,https://www.aquariumnews.com,,
智能水壶,Xiaomi,Mi Smart Kettle,两年保修,Xiaomi MIUI,小米科技,ARM Cortex-M0,ESP8266,APP控制,饮水管理工具,智能温控，水质监测,家庭饮水,2023-08-01,智能家居报告,https://www.smartlivingreport.com,,
智能声控灯泡,Philips,Hue White and Color,三年保修,Philips Hue Bridge,飞利浦,ARM Cortex-M4,Cypress CY8C4245PVI,语音控制与APP,照明管理工具,调节亮度和色彩，定时开关,家庭照明,2022-06-10,照明科技论坛,https://www.lightingtechforum.com,,
智能电视,Samsung,QLED 4K TV,五年保修,Tizen OS,三星电子,Quantum Processor 4K,Exynos 990,语音控制与遥控,娱乐管理工具,智能电视，支持多种流媒体服务,家庭娱乐,2022-09-20,消费电子市场报告,https://www.consumerelectronicsreport.com,,
智能书桌,Flexispot,E7 Pro Plus,两年保修,自研系统,安川智能,ARM Cortex-A8,NXP LPC1768,APP控制,工作效率管理工具,高度调节，健康监测,家庭办公,2023-01-05,办公室家具评测,https://www.officefurniturereviews.com,,
智能冰箱,LG,LG Smart Refrigerator,三年保修,WebOS,LG电子,ARM Cortex-A55,Qualcomm Snapdragon 660,APP与触控,食品管理工具,保持食物新鲜，智能购物清单,家庭厨房,2023-06-10,家电行业期刊,https://www.appliancejournal.com,,
智能空气净化器,Dyson,HP07,两年保修,Dyson Link App,戴森,ARM Cortex-A7,Microchip PIC32MZ,APP控制,空气质量监控工具,实时空气质量监测，自动调节,家庭健康,2023-02-15,空气品质研究,https://www.airqualityresearch.com,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,自研OS,PetSafe,ARM Cortex-M0,ESP8266,APP控制,宠物管理工具,定时喂食，智能监测,家庭宠物照顾,2023-04-20,宠物科技评测,https://www.pettechreview.com,,
智能门锁,Yale,Yale Assure SL,三年保修,Yale Access App,国际安防,ARM Cortex-A9,NXP Security Chip,APP与指纹,家庭安防管理工具,远程控制，访问记录,家庭安全,2022-12-01,安全技术杂志,https://www.securitytechmag.com,,
智能健身鞋,Nike,Nike Adapt BB 2.0,一年保修,自研系统,耐克,ARM Cortex-M4,Nordic nRF52840,APP控制,运动分析工具,自动调节鞋带紧度，数据跟踪,家庭运动,2023-03-25,运动科技日报,https://www.sportdailynews.com,,
智能网关,TP-Link,TL-MR6400,两年保修,TP-Link OS,TP-Link公司,Broadcom BCM47189,Qualcomm Atheros,APP控制,网络管理工具,提供家庭网络管理与控制,家庭网络,2022-11-15,网络技术报告,https://www.networktechreport.com,,
智能体重秤,Withings,Body+,两年保修,Withings App,Withings,ARM Cortex-M4,Nordic nRF52832,APP控制,健康监测工具,体重监控，智能健康分析,家庭健康管理,2023-07-01,健康科技评论,https://www.healthtechreview.com,,
智能窗帘,Lutron, Serena Smart Shades,五年保修,Lutron App,Lutron Electronics,ARM Cortex-A7,Texas Instruments,APP与语音控制,光管理工具,自动调节光线，隐私控制,家庭环境,2023-01-20,家居智能化杂志,https://www.smartlivingmag.com,,
智能空气炸锅,Philips,Airfryer XXL,两年保修,自研OS,飞利浦,ARM Cortex-M4,Espressif ESP8266,语音控制与APP,烹饪助手,智能烹饪，低油健康炸食,家庭厨房,2023-04-30,厨房电器分析,https://www.kitchenappliancesanalysis.com,,
智能洗衣机,Whirlpool,WFC8090GX,五年保修,Whirlpool App,惠而浦,ARM Cortex-A53,Microchip PIC32,APP控制,洗衣管理工具,智能洗涤，远程控制,家庭清洁,2022-10-30,家电评测报告,https://www.applianceevaluation.com,,
智能饮水机,BRITA,On Tap,三年保修,BRITA App,BRITA,ARM Cortex-M4,ESP32,触控与APP,水质管理工具,实时水质监测，过滤提醒,家庭饮水,2023-11-15,水质量科学杂志,https://www.waterqualityscience.com,,
智能宠物喂食器,PetSafe,Smart Feed,两年保修,PetSafe OS,PetSafe Solutions,ARM Cortex-M3,ES8266,APP控制,宠物管理工具,定时喂食，远程监控,家庭宠物照看,2022-06-20,智能宠物科技报告,https://www.petsafetech.com,,
智能窗帘控制器,Lutron,Smart Blinds Controller,三年保修,Lutron OS,Lutron Electronics,ARM Cortex-A53,Nordic nRF52840,APP与语音控制,窗帘自动调节工具,自动开合窗帘，光线调节,家庭居住环境,2023-02-01,智能家居更新,https://www.lutron.com,,
智能冰箱,Samsung,Family Hub 2023,五年保修,Tizen OS,三星电子,ARM Cortex-A55,Qualcomm Snapdragon 450,触控与APP,厨房辅助工具,智能管理食物与食谱推荐,家庭厨房,2023-04-15,家电市场调查,https://www.samsung.com,,
智能洗衣机,LG,TWINWash,十年保修,LG SmartThinQ,LG电子,ARM Cortex-A7,MediaTek MT7687,APP与语音控制,洗涤管理助手,双桶设计，智能洗涤程序推荐,家庭洗衣,2021-11-10,家电行业资讯,https://www.lg.com,,
智能气象站,Netatmo,Weather Station,三年保修,Netatmo OS,Netatmo S.A.,ARM Cortex-A9,Texas Instruments CC2652,APP控制,气象监测工具,室内外监测，实时天气更新,家庭环境监测,2022-08-15,气象仪器展,https://www.netatmo.com,,
智能电水壶,Breville,Smart Kettle,两年保修,Breville OS,Breville Group,ARM Cortex-M0,ESP8266,触控与APP,饮品管理助手,精准温控，自动保温,家庭饮品制作,2021-12-01,电器创新快讯,https://www.breville.com,,
