品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
Goldwin,100% Recycled Polyester、Dry-Mesh,高,环保、舒适、速干,外套、运动裤,内部报告,https://www.goldwin.co.jp/,,
Superdry,Organic Cotton、Recycled Materials,中,时尚、舒适、环保,休闲服、外套,时尚反馈,https://www.superdry.com.cn/,,
阿迪达斯,LunarSkin、Parley海洋塑料,高,轻盈、环保、出色的回弹性能,跑步鞋、训练鞋,行业报告,https://www.adidas.com.cn/,,
Under Armour,UA Tech、Charged Cushioning,高,快干、透气、提供极好缓冲,运动衫、运动鞋,用户评论,https://www.underarmour.cn/,,
New Balance,Fresh Foam、Hypoknit,高,提供优质舒适、可调节的支撑,跑步鞋、生活鞋,网络资讯,https://www.newbalance.cn/,,
UNIQLO,AIRism、Heattech,中,温控、吸湿排汗、舒适,内衣、运动服,消费者调查,https://www.uniqlo.com/,,
Lululemon,Nulu、Silverescent,高,超柔软、抗菌、适合高强度训练,瑜伽裤、运动文胸,时尚杂志,https://shop.lululemon.cn/,,
FILA,CoolMax、FlexFoam,高,透气、舒适、回弹力佳,运动工作服、休闲鞋,品牌发布会,https://www.fila.cn/,,
PUMA,LITE 技术,高,轻量化、贴合设计、舒适透气,健身鞋、跑步衣,品牌官网,https://www.puma.com.cn/,,
致美,EcoActive Stretch,中,环保亲肤、适合日常穿着,运动休闲服、便服,electronical conference,https://www.zhmei.com/,,
ASICS,GEL、FlyteFoam,高,反弹性好、缓震、耐久,跑步鞋、专业运动服,公司介绍,https://www.asics.com.cn/,,
峰际,Mesh Net、Reason Project,高,通风良好、无缝设计、适合高强度运动,运动外套、运动裤,在线访谈,https://www.fengji.com/,,
Speedo,Endurance+、EcoRecycle,高,耐氯、环境友好、弹性佳,游泳服、泳裤,游泳赛事,https://www.speedo.com.cn/,,
Brooks,DNA Loft、BioMoGo,高,舒适对脚、缓震性强、轻量化设计,跑步鞋、运动服,专业评测,https://www.brooksrunning.com/,,
T恤作坊,Bamboo Fabric、Recycled Polyester,中,环保、透气、舒适感,定制T恤、运动衫,社交媒体推广,https://www.tshirtfactory.cn/,,
The North Face,Futurelight、ThermoBall,高,防水、保暖、透气,户外夹克、滑雪服,户外展会,https://www.thenorthface.com.cn/,,
快步,FlexLite、AirFlow,中,轻便、透气、适合旅行,休闲鞋、旅行背包,零售商发布,https://www.kuaibu.com/,,
Lands' End,Chino Twill、Storm-Repellent,中,防水、耐磨、舒适,休闲裤、外套,顾客反馈,https://www.landsend.com/,,
Mizuno,AeroHug、XG Rubber,高,优良稳定性、抗撕裂、快速干燥,跑步鞋、训练设备,品牌说明会,https://www.mizuno.com.cn/,,
Under the Sun,SolarSkin、ThermoProtect,高,UPF 50+、轻便透气,户外运动服、沙滩服,专业运动评测,https://www.underthesun.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,缓震、舒适、包裹感好,跑步鞋、运动休闲鞋,公司官网,https://www.newbalance.cn/,,
UNDER ARMOUR,UA Tech、MicroThread,高,轻便、速干、防臭,运动T恤、紧身裤,科技展览,https://www.underarmour.cn/,,
Lululemon,Nulu、Full-On Luxtreme,高,超轻、舒适、极致弹性,瑜伽服、运动短裤,用户评论,https://www.lululemon.com.cn/,,
H&M,RE:Move、ECO-MOD,中,环保材料、舒适手感,休闲服、运动套装,公司官网,https://www.hm.com.cn/,,
阿迪达斯,Rita的回收塑料、Knit,高,可持续、柔软、适合各类运动,运动外套、跑步鞋,环保活动,https://www.adidas.cn/,,
Oiselle,AeroLight、Replay,高,快速干燥，轻便透气,跑步短裤、运动背心,品牌推广活动,https://www.oiselle.com/,,
PUMA,Loomed Fiber、PUMA Cell,高,透气、舒适、节能,休闲跑鞋、运动服,市场调研,https://www.puma.com/,,
匡威,Canvas Cotton、Recycled Poly,中,耐用、舒适、易打理,帆布鞋、时尚运动服,消费者反馈,https://www.converse.com.cn/,,
FILA,ThermoRegulation、DriWin,高,快干、保温、弹性大,滑雪服、运动外套,行业大会,https://www.fila.cn/,,
361度,AirMesh、Li-tex,中,轻盈、良好透气性、舒适性高,鞋子、运动服,产品发布会,https://www.361sport.com.cn/,,
Nike,AEROREADY、ThermoCool,高,湿度调节、轻质、适合多种活动,运动服、夹克,社交媒体,https://www.nike.com.cn/,,
安踏,A+、AirTight,高,减震、贴合脚型、防滑,篮球鞋、跑步鞋,运动科技发布会,https://www.anta.com/,,
新百伦,NB Fresh Foam、Reflective Fabric,高,舒适、后踵支撑、安全反射,跑步鞋、户外鞋,网络调查,https://www.newbalance.cn/,,
Lululemon,Lyra、Power Luxtreme,中,弹力大、贴合、速干,训练服、瑜伽裤,产品用户反馈,https://www.lululemon.com.cn/,,
阿迪达斯,Primeknit、Parley,高,舒适合脚、环保材料、轻质,运动鞋、潮流休闲鞋,公司官网,https://www.adidas.cn/,,
PUMA,DryCell、CoolCell,高,干爽、透气性佳、运动适用,运动T恤、训练服,技术文档,https://www.puma.com/,,
Etnies,EcoStep、FoamLite,中,生态材料、舒适、耐磨,滑板鞋、运动休闲鞋,公司官网,https://www.etnies.com/,,
FILA,FlexiBlend、WaterRepellent,高,抗水、不怕风、灵活,运动外套、跑步裤,品牌活动,https://www.fila.cn/,,
新百伦,Fresh Foam、NB Dry,高,舒适、透气、缓震,跑步鞋、运动上衣,运动品牌活动,https://www.newbalance.com.cn/,,
李宁,水滴科技、轻量网布,高,出色的透气性、防水性,户外风衣、运动裤,公司发布会,https://www.lining.com/,,
华硕,汗水分离科技、聚酯纤维,中,适合长时间运动、提高舒适度,运动背心、跑步装备,在线研讨会,https://www.asus.com.cn/,,
UNDER ARMOUR,UA Tech、HeatGear,高,快速干燥、柔软贴身,运动衣、紧身裤,市场调研,https://www.underarmour.cn/,,
Mizuno,Wave Knit、AeroHug,高,贴合脚型、极佳一样性,比赛跑鞋、训练鞋,公司官网,https://www.mizuno.cn/,,
鬼冢虎,GEL技术、经典运动布,中,复古设计、舒适穿着,休闲鞋、运动鞋,社交媒体,https://www.onitsukatiger.com/,,
Champion,Reverse Weave、Bio-Wick,中,经典设计、持久耐穿,运动卫衣、裤子,线上商店,https://www.champion.com/,,
HOKA,Meta-Rocker、Flyknit,高,超轻、舒适、反应灵敏,跑步鞋、越野鞋,行业博览会,https://www.hoka.com/,,
Puma,NITRO、RS 2.0,高,高能量回馈、舒适感强,运动鞋、休闲服,品牌推出活动,https://www.puma.com.cn/,,
秋水伊人,发热材料、快干面料,中,保暖舒适、吸湿排汗,时尚运动服、休闲装,时尚品牌展,https://www.qiushuiyiren.com/,,
Salomon,Gore-Tex、Contagrip,高,防水、耐磨性强,登山鞋、跑步装备,公司官网,https://www.salomon.com.cn/,,
Balenciaga,再生聚酯、弹力织物,高,奢华、环保、设计前卫,高端运动鞋、限量服饰,时尚秀,https://www.balenciaga.com/,,
阿迪达斯,AEROREADY、Parley海洋塑料,高,环保、干爽、舒适,运动服、环保鞋,可持续发展论坛,https://www.adidas.com.cn/,,
Uniqlo,Heattech、UV Protection,高,科技时尚、适合各季节,基础款、运动内衣,公司官网,https://www.uniqlo.com/,,
FILA,Coolmax、轻量聚酯,中,轻便、透气、适合运动,运动服、跑步鞋,用户评测,https://www.fila.com.cn/,,
NB,Revlite、N2P,高,舒适回弹、轻便设计,健身鞋、跑步服,体育活动,https://www.newbalance.cn/,,
Atheleta,Luxe Pack、4-way Stretch,高,极致舒适、适应性强,瑜伽服、运动套装,女性力量日,https://www.atheleta.com/,,
Kappa,Eco-Recycled Fabrics、Max Dry,中,环保设计、速干效果,运动休闲衣、短裤,在线广告,https://www.kappa.com.cn/,,
New Balance,Fresh Foam、Mesh,高,舒适、透气、轻量,跑步鞋、运动靴,公司官网,https://www.newbalance.com/,,
泰尔丝,聚酯纤维、竹纤维,高,环保、抗菌、快干,运动内衣、瑜伽裤,行业展会,https://www.taiers.com/,,
UNDER ARMOUR,UA Tech、ColdGear,高,吸湿排汗、保暖、舒适,运动外套、长裤,公司官网,https://www.underarmour.com/,,
ANTA,Turbo Dry、NanoFlex,中,快速干燥、轻便、灵活,运动服、篮球鞋,科技新品发布会,https://www.anta.com/,,
Lululemon,Nulu、Luon,高,极致舒适、适应性强、快干,瑜伽服、运动文胸,线上市场调研,https://www.lululemon.com/,,
PUMA,PUMA Cell、DryCELL,高,高弹性、透气性、轻盈,训练服、网球鞋,用户体验调查,https://www.puma.com.cn/,,
Adidas,AEROREADY、PRIMEGREEN,高,持久舒适、可回收材质,运动外套、跑步鞋,公司官网,https://www.adidas.cn/,,
Luxe,E-PADDRY、Sustainable Cotton,中,环保、舒适、易于清洗,休闲服、运动裙,设计师访谈,https://www.luxewear.com/,,
Nike,Flyknit、VaporMax,高,极至贴合、良好透气、轻便,专业跑鞋、网球鞋,公司发布会,https://www.nike.com.cn/,,
Xtep,CoolMax、Air Mesh,高,极速干燥、适合运动、透气佳,运动衫、比赛鞋,消费者反馈,http://www.xtep.com/,,
Columbia,Omni-Freeze、Omni-Tech,中,气候适应性、耐水性、舒适,户外服、冷天气服装,公司官网,https://www.columbia.com/,,
Mizuno,Mizuno Wave、AeroHug,高,冲击吸收、自由活动、透气,跑步鞋、运动上衣,跑步博览会,https://www.mizunocorp.com/,,
Salomon,GORE-TEX、AdvancedSkin,高,防水透气、舒适贴合、轻量,登山鞋、滑雪服,专业评论网站,https://www.salomon.com/,,
FILA,Dri-FIT、Cooling Fabric,中,降温效果、舒适度高、耐磨,休闲鞋、网球服,公司官网,https://www.fila.com/,,
Skechers,Air Cooled、Hyper Burst,中,透气、舒适、轻盈,休闲鞋、健步鞋,客户市场调研,https://www.skechers.com/,,
Craft,Cool Mesh、Lightweight Fabric,高,高透气性、快速干燥、轻盈,专业运动服、越野跑鞋,行业分析报告,https://www.craftsportswear.com/,,
H&M,Organic Cotton、Recycled Polyester,中,环保、舒适、时尚,日常休闲服、运动外套,公司可持续发展报告,https://www.hm.com.cn/,,
李宁,CoolShell、LuxeDry,高,快速干燥、透气、舒适,运动外套、泳装,公司官网,https://www.lining.com/,,
Under Armour,UA HOVR、Tech,高,智能感应、减震、舒适合脚,跑步鞋、运动服,科技体验店,https://www.underarmour.cn/,,
New Balance,Fresh Foam、Vaporlite,中,轻便、舒适、透气,休闲鞋、运动鞋,公司官网,https://www.newbalance.com.cn/,,
XTEP,MicroNano、CoolMax,高,亲肤、超轻、耐汗,运动衫、短裤,科技新品发布会,https://www.xtep.com/,,
阿迪达斯,RPLYN、AEROREADY,高,可再生、自动调节温度、透气,瑜伽裤、跑步外套,社交媒体广告,https://www.adidas.com.cn/,,
PUMA,FUSEFIT、PowerGrid,中,舒适、透气、包裹性好,休闲运动鞋、慢跑服,品牌发布活动,https://www.puma.com.cn/,,
爱迪达,SkyFlex、QuickDry,高,超轻、强耐用、速干,户外服、活动裤,线上广告,https://www.adidas.cn/,,
Asics,GEL-Rizer、Trusstic System,高,减震、稳定、舒适,跑步鞋、马拉松服,运动博览会,https://www.asics.com.cn/,,
Columbia,Omni-Heat、Omni-Tech,高,保暖、透气、防水,滑雪服、户外装备,公司官网,https://www.columbia.com.cn/,,
FILA,T-ENG、Flyknit,中,时尚、舒适、轻便,休闲鞋、运动服,公司新品发布会,https://www.fila.com.cn/,,
Brooks,DNA Loft、GuideRails,高,高弹性、稳定性、舒适,跑步鞋、赛事服,品牌官网,https://www.brooksrunning.com.cn/,,
Lululemon,Nulu、Swift Ultra,中,环保、速干、舒适,健身服、瑜伽垫,品牌合作活动,https://www.lululemon.com.cn/,,
Uniqlo,AIRism、BlockTech,中,轻薄、透气、防风,休闲服、内衣,产品发布会,https://www.uniqlo.cn/,,
Outdoor Research,Pertex Shield、AstroShield,高,防水、耐磨、适合极端天气,户外夹克、装备,行业研讨会,https://www.outdoorresearch.com/,,
Lands' End,Softex、ThermoChromic,中,舒适、色彩变化、耐久,休闲服、外套,消费者调研,https://www.landsend.com/,,
Mammut,DRYtechnology、Phase Shell,高,防水透气、温度调节、耐用,登山服、专业装备,品牌官网,https://www.mammut.com/,,
The North Face,Futurelight、GORE-TEX,高,超级透气、极端防护,户外皮肤保护服、运动服,户外活动展示,https://www.thenorthface.com/,,
New Balance,Fresh Foam、AirMesh,高,舒适、透气性强、防臭,跑步鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
Under Armour,UA Tech、HeatGear,高,速干、防紫外线、舒适贴身,运动T恤、短裤,公司官网,https://www.underarmour.cn/,,
竹子,竹纤维、BioRelief,中,天然、吸湿速干、抗菌,家居服、袜子,博客文章,https://www.bamboo.com.cn/,,
特步,超细纤维、透气网布,高,轻便、快速干燥、耐磨,跑鞋、潮流运动服,科技新闻,https://www.technews.cn/,,
H&M,再生聚酯纤维、Organic Cotton,高,环保、舒适、易打理,休闲服、夏季裙,公司官网,https://www.hm.com.cn/,,
Lululemon,Nulu、Everlux,高,超柔软、透气、适合运动,瑜伽裤、运动内衣,公司官网,https://www.lululemon.com.cn/,,
FILA,银纤维、涤纶,中,时尚、易清洗、耐穿,运动鞋、休闲服,用户报告,https://www.fila.com.cn/,,
Asics,GEL、FlyteFoam,高,缓震、轻量、适合长跑,跑步鞋、健身鞋,专业测评网站,https://www.asics.com.cn/,,
Puma,evercushion、Clyde,高,缓冲、透气、舒适感极佳,休闲运动鞋、球鞋,公司官网,https://www.puma.com.cn/,,
Uniqlo,AIRism、Ultra Light Down,中,轻盈、快干、透气,外套、基础款T恤,公司官网,https://www.uniqlo.cn/,,
图形,光致变色材料、聚酯,高,温度智能调节、时尚外观,运动外套、时尚系列,展会展示,https://www.fashioninnovation.cn/,,
亚瑟士,FlyteFoam Propel、Jacquard Mesh,高,舒适、增强回弹性、不易磨损,跑步鞋、训练鞋,用户反馈,https://www.athleticpropulsionlabs.com/,,
The North Face,Futurelight、ThermoBall,高,防水透气、保暖性强、高强度,户外夹克、登山服,公司官网,https://www.thenorthface.com.cn/,,
李宁,快干科技、超轻面料,中,轻便、速干、防摩擦,运动鞋、短裤,运动时尚杂志,https://www.lining.com.cn/,,
反向,双面羊毛、尼龙,中,保暖、耐候、可逆穿,外套、风衣,社交媒体,https://www.shopnow.com/,,
Mizuno,DynamotionFit、AeroHug,高,贴合、柔软、防风,跑步鞋、运动服,公司官网,https://www.mizuno.com.cn/,,
筑梦,天然纤维、抗紫外线面料,中,环保、舒适、时尚,休闲服、户外衣物,行业展会,https://www.dreamfabric.com.cn/,,
新百伦,Fresh Foam、Hyperknit,高,极致舒适、透气性强、减震,跑步鞋、运动服,运动品牌展会,https://www.newbalance.com.cn/,,
索康尼,PWRRUN、Engineered Mesh,高,轻量、抗磨损、极佳舒适性,跑步鞋、健身鞋,用户反馈,https://www.saucony.com.cn/,,
H&M,Repreve再生纤维、柔软棉,中,环保、舒适、易打理,休闲服、日常服,时尚杂志,https://www.hm.com.cn/,,
彪马,NITRO、CELL,高,缓震、弹性好、透气,健身鞋、运动短裤,品牌发布会,https://www.puma.com.cn/,,
李宁,轻质网面、现象科技,高,透气、舒适、多功能,运动鞋、训练服,公司官网,https://www.lining.com/,,
亚瑟士,FlyteFoam、Jacquard,高,轻便、耐用、吸湿,跑步鞋、训练鞋,体育比赛,https://www.asics.com.cn/,,
优步,Reflective Knit,中,反光设计、舒适透气、时尚,运动服、外套,设计展,https://www.ubermall.cn/,,
NIKE,THUNDERFLY、Cotton Blend,高,耐磨、舒适弹性环境友好,运动外套、跑步短裤,用户评测,https://www.nike.com.cn/,,
H&M,Lyocell、再生纤维,中,柔软、透气性良好、环保,运动服、家居服,可持续发展报告,https://www.hm.com.cn/,,
Under Armour,UA Tech、Moisture Transport,高,速干、舒适、适合潮湿环境,健身服、训练装备,体育社区反馈,https://www.underarmour.cn/,,
Champion,Reverse Weave、Cotton Blend,中,耐磨、舒适、经典设计,休闲服、运动衫,品牌官网,https://www.champion.com.cn/,,
Anta,空气网、独立缓震,高,透气、轻量、减震,篮球鞋、运动服,市场调研,https://www.anta.com/,,
Hoka One One,Meta-Rocker、Ortholite,高,极致舒适、减震优良,越野跑鞋、运动服,博客评测,https://www.hoka.com/,,
李宁,3D网眼、CoolMax,中,透气、轻便、适合夏季,运动短裤、T恤,社交媒体,https://www.lining.com/,,
Mizuno,AIRmesh、Wave,高,透气、舒适、缓震设计,跑步鞋、训练鞋,体育博览会,https://www.mizuno.cn/,,
Faced,Sustainable Nylon、CVC,中,柔软、耐用、环保,运动背包、旅行装备,户外博览会,https://www.faced.cn/,,
PUMA,RNG Technology、Soft Foam,高,减震舒适、回弹性好,篮球鞋、训练服,行业研究,https://www.puma.com.cn/,,
李宁,FlashDry、Aerocool,高,速干、透气、柔软,运动外套、训练短裤,品牌发布会,https://www.lining.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,缓震、贴合、呼吸性好,跑鞋、健身鞋,用户体验反馈,https://www.newbalance.com.cn/,,
特步,EVA、Softmesh,中,轻巧、透气、舒适,休闲运动鞋、运动衫,市场调研,https://www.xtep.com/,,
