育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
CRISPR技术育种,非常规育种,性状改良,植物、动物,基因编辑,进行中,精准修改基因,利用CRISPR技术进行基因修饰,基因农业,基因农业,学术机构、国际组织,生物科技产业,运用CRISPR技术创建新性状的农作物。,Nature杂志,https://www.sciencenet.cn,2024-09-29,,,,
细胞培养育种,非常规育种,性状稳定,植物,植物细胞培养,进行中,快速繁殖优良品种,采用细胞培养技术进行大规模繁殖,园艺作物,园艺作物,高校、农业公司,农业、食品产业,通过细胞培养技术快速繁育新种。,中国农业大学网站,https://www.nature.com,2024-09-29,,,,
基因组编辑,现代育种,性状改良,植物,基因编辑技术,进行中,产生抗病品种,应用基因组编辑提高抗病性状,水果蔬菜,水果蔬菜,政府、研究院所合作,农产品产业,通过基因组编辑技术，创造抗病性强的作物。,科学美国人,http://www.genomeweb.com,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,转基因技术,研发中,提高抗虫能力,通过转基因引入抗虫基因,农作物,农作物,生物公司、大学合作,农业、食品产业,通过转基因手段，提高作物的抗虫能力。,生物技术进展,https://www.agronomy.org,2024-09-29,,,,
体细胞杂交,非常规育种,性状改良,植物,体细胞融合,进行中,获得新的遗传背景,利用体细胞融合技术创造混合基因型,作物育种,作物育种,高等院校、科研机构,生物科技产业,通过体细胞杂交技术，合成具有新特性的植物。,中国农业科技网,https://www.plantjournal.com,2024-09-29,,,,
生物信息学育种,现代育种,性状改良,植物、动物,数据分析,进行中,优化育种方案,利用生物信息学分析提升育种效率,遗传改良,遗传改良,高校、技术公司合作,农业、食品产业,通过生物信息学技术提高育种决策效率。,生物技术杂志,https://www.ippb.org.cn,2024-09-29,,,,
分子标记辅助育种,现代育种,性状改良,植物,使用分子标记,进行中,提高选择效率,使用分子标记辅助选择优良品种,杂交水稻,杂交水稻,学校、地方研究所,农业、食品产业,通过分子标记辅助，提高传统育种的选择效率。,植物遗传学期刊,https://www.agriculturejournals.com,2024-09-29,,,,
再生育种,非常规育种,性状改良,植物,组织培养,进行中,恢复优良品种,通过组织培养进行原种再生,水果、蔬菜,水果、蔬菜,大学与企业合作,农业、食品产业,利用组织培养恢复曾经优良的植株。,国际植物科学杂志,https://www.ruraltech.org.cn,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物、动物,基因组编辑,进行中,精准改良性状,应用CRISPR-Cas9技术对特定基因进行编辑以改善性状,植物生物技术,学术机构、政府合作,生物科技产业,各大生物技术公司,通过先进基因编辑技术实现精准的性状改良。,科学美国人,https://www.scientificamerican.com,2024-09-29,,,,
基因组重测序育种,非常规育种,遗传改良,植物,高通量基因测序,进行中,提升遗传多样性,通过基因组重测序分析遗传变异以指导选育策略,作物基因组学,学术机构、企业合作,农业、食品产业,国际基因组学研究中心,利用先进的测序技术解析并选育具有高遗传多样性的作物品种。,Nature Genetics,https://www.nature.com/ng/,2024-09-29,,,,
单分子测序,非常规育种,性状分析,植物,新型测序技术,进行中,深化对植物基因组的理解,利用单分子实时测序技术进行基因组分析,植物基因组研究,学术机构、医疗机构,生物科技产业,各大研究所,通过单分子测序获取完整的基因组信息用于育种改良。,基因组研究杂志,https://www.genomeweb.com,2024-09-29,,,,
用植物震荡仪技术育种,常规育种,性状改良,植物,综合育种,进行中,提高抗病性,利用植物震荡仪诱导植物产生抗逆境的表型特征,农业生物技术,科技公司与农民合作,农业、食品产业,农业科技企业,使用震荡仪影像技术，实现快速筛选和育种。,农业部官网,http://www.moa.gov.cn,2024-09-29,,,,
合成生物学育种,非常规育种,基因组合,植物、微生物,基因合成,进行中,创造新功能性生物体,精准设计合成基因组以创造新型生物,合成生物科学,高校、研究机构合作,生物科技产业,各大生物合成实验室,通过合成生物学手段创造具有新功能的生物体。,细胞生物学杂志,https://www.cell.com,2024-09-29,,,,
气候适应性育种,常规育种,持续性改良,植物,田间试验,进行中,培育抗气候变化的作物,通过选择适应特定气候条件的基因型进行育种,农业可持续性,政府、非营利机构合作,农业、食品产业,气候研究所,专注于气候变化下的作物育种，以确保粮食安全。,世界气象组织,https://www.wmo.int,2024-09-29,,,,
精准农业育种,常规育种,效能优化,植物,数据分析与监测,进行中,提高农业生产效率,利用精准农业技术提升育种决策,农业技术与管理,农业科技公司与农民合作,农业、食品产业,农业科技研究中心,通过数据驱动的育种策略提升生产力与可持续性。,农田管理期刊,https://www.agriculturejournals.com,2024-09-29,,,,
育种大数据分析,非常规育种,数据驱动改良,植物、动物,生物信息学,进行中,利用数据识别优质基因,通过大数据分析提供育种决策支持,植物育种信息技术,科技公司、研究机构,生物科技产业,大数据分析公司,通过分析大量育种数据，实现精准育种。,生物信息学期刊,https://www.biomedcentral.com/journals/bioinformatics,2024-09-29,,,,
自动化育种技术,常规育种,效率提升,植物,机器人辅助选育,进行中,提高选育的自动化程度,采用机器人技术进行植物育种的自动化操作,农业自动化,科技公司与高校合作,农业、食品产业,自动化技术公司,通过自动化系统提高育种效率，降低人工成本。,农业机器人技术杂志,https://www.roboticsbusinessreview.com,2024-09-29,,,,
基因标记辅助育种,常规育种,性状改良,植物,基因标记技术,进行中,提高作物抗病性,通过标记与性状相关的基因，实现精准育种,玉米、豆类,学术机构、农民合作社,农业、食品产业,世界粮食计划署,结合分子生物学技术，通过基因标记进行育种，提高作物品质与产量。,农业科学报,https://www.ruraltech.org.cn,2024-09-29,,,,
CRISPR基因编辑技术,非常规育种,性状改良,植物、动物,基因剪切,进行中,精准改变植物特性,利用CRISPR技术实现基因组的精准编辑,水稻、小麦,政府、企业合作,生物科技产业,各大生物研究所,通过基因剪切技术，直接修饰DNA序列，提高作物抗逆性。,Nature Biotechnology,https://www.scientificamerican.com,2024-09-29,,,,
转基因育种,非常规育种,性状改良,植物,转基因方法,进行中,增加营养价值,通过转基因技术引入外源基因，提升食品品质,黄豆、玉米,企业、研究机构合作,农业、生物科技产业,国际农业研究中心,利用转基因技术，创造更加营养丰富的作物品种。,科学美国人,https://www.nature.com/ng/,2024-09-29,,,,
细胞培养技术,非常规育种,性状稳定,植物,细胞培养,进行中,快速繁殖优良品种,利用组织培养技术进行植株再生,药用植物,学术机构、企业合作,生物科技产业,国家药典委员会,通过细胞培养技术，实现快速、稳定的优良植物繁殖。,中国生物工程杂志,https://www.genomeweb.com,2024-09-29,,,,
新型基因组编辑,非常规育种,性状改良,植物,基因组重塑,进行中,创造可持续作物,采用新型编辑工具，改变作物基因组,大豆、小麦,国际合作研究,农业、生物科技产业,全球农业创新中心,通过创新基因组编辑技术，提高作物可持续性与产量。,国际农业科学期刊,http://www.moa.gov.cn,2024-09-29,,,,
抗逆性育种,常规育种,性状改良,植物,育种交配,进行中,增强抗逆性,选择抗逆性状优良个体进行育种,红薯、紫薯,地方农业局、农民合作社,农业、食品产业,地方农业科技中心,通过常规育种技术，加强作物对环境压力的抵抗力。,农业技术推广杂志,https://www.cell.com,2024-09-29,,,,
生物信息学辅助育种,常规育种,性状改良,植物,数据分析,进行中,优化育种效率,利用生物信息学分析遗传数据，提高育种决策,小麦、马铃薯,大学、企业合作,生物科技产业,农业大数据研究所,结合生物信息学，加速育种过程，提升新种质开发效率。,农业研究与管理,https://www.wmo.int,2024-09-29,,,,
智慧农业育种,常规育种,性状改良,植物,高科技监测,进行中,提高作物生产力,运用物联网与数据分析优化育种策略,水果、蔬菜,科技公司、农民合作社,农业、食品产业,农业科技创新中心,结合现代科技，进行精准育种，提高农作物的整体生产力与可持续性。,现代农业杂志,https://www.agriculturejournals.com,2024-09-29,,,,
快速育种技术,非常规育种,性状改良,植物,高通量筛选,进行中,缩短育种周期,使用先进的科技工具，加速优良材料的筛选与育成,新兴作物,科研机构、企业合作,农业、生物科技产业,农业高新技术开发中心,通过高通量技术，显著缩短育种周期，推动新作物的快速上市。,农业前沿,https://www.biomedcentral.com/journals/bioinformatics,2024-09-29,,,,
生物信息学育种,非常规育种,数据驱动性状改良,植物,计算机模拟,调查中,优化基因组设计,利用计算方法预测性状表现,基因组学,跨国公司、学术机构,生物科技产业,各大高校及研究机构,通过计算机模拟和数据分析指导育种过程。,Science Direct,https://www.roboticsbusinessreview.com,2024-09-29,,,,
精准育种,非常规育种,快速改良特性,植物、动物,CRISPR 技术,进行中,精准修正基因组,利用基因编辑技术定向修改特定基因,农作物、家畜,政府、企业、大学,农业、食品产业,科技公司、农业研究所,通过精准基因修正提高农作物抵抗力及产量。,Nature,https://www.ruraltech.org.cn,2024-09-29,,,,
转录组育种,常规育种,分析性状表达,植物,转录组测序,进行中,了解基因表达模式,通过转录组分析优化育种策略,功能基因组学,学术研究及产业合作,生物科技产业,各大农业院校及研究机构,利用转录组数据为新品种选育提供参考。,PubMed,https://pubmed.ncbi.nlm.nih.gov,2024-09-29,,,,
生态育种,常规育种,适应性强,植物,野外选择,实施中,增强植物对环境的适应性,通过自然选择及入选进行育种,可持续农业,地方政府、农民组织,农业、食品产业,地方农业实验站,通过选择适应性强的植物品种促进生态平衡。,国际农业研究中心,https://www.cgiar.org,2024-09-29,,,,
