考核原则,评价标准,SO2排放量,单位,NOx排放量,单位,生活污水COD排放量,单位,矿井水COD排放量,单位,污染物排放达标率,单位,在线监测系统数据传输有效率,单位,数据上报率,单位,外排土场排放到界区域整形覆土率,单位,权重,计算模型,采集来源,来源链接,采集时间,备注,,,,
信息透明,公开信息完整性,36,mg/m³,75,mg/m³,140,mg/L,95,mg/L,0.89,%,0.96,%,0.99,%,0.82,%,0.22,数据透明度模型,城市规划局,https://www.planning.gov.cn/,2024-09-10,,,,,
生态恢复,生态修复成效,29,mg/m³,60,mg/m³,155,mg/L,105,mg/L,0.90,%,0.97,%,0.98,%,0.89,%,0.25,生态影响评估,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
环保优先,碳排放总量,55,mg/m³,90,mg/m³,210,mg/L,160,mg/L,0.94,%,0.97,%,1.00,%,0.85,%,0.35,加权平均法,江苏省生态环境厅,https://www.jiangsu.gov.cn/xxgk/2023/01/10/env-report.html,2024-09-10,,,,,
安全第一,设备故障率,45,mg/m³,75,mg/m³,175,mg/L,130,mg/L,0.91,%,0.98,%,0.95,%,0.88,%,0.3,风险评估模型,重庆市应急管理局,https://www.cq.gov.cn/safety-management/emergency.html,2024-09-10,,,,,
持续改进,节能效率,25,mg/m³,65,mg/m³,150,mg/L,95,mg/L,0.89,%,0.96,%,0.95,%,0.82,%,0.22,效率评估模型,国家能源局,https://www.nea.gov.cn/2023/02/20/energy-efficiency-improvement.html,2024-09-10,,,,,
合规性优先,安全培训合格率,35,mg/m³,88,mg/m³,165,mg/L,110,mg/L,0.90,%,0.95,%,0.95,%,0.78,%,0.18,合规性检查模型,广东省安全生产监督管理局,https://www.gd.gov.cn/safety-checks.html,2024-09-10,,,,,
科学合理,废物再利用率,30,mg/m³,50,mg/m³,190,mg/L,140,mg/L,0.91,%,0.94,%,0.95,%,0.85,%,0.25,资源回收模型,国家发展和改革委员会,https://www.ndrc.gov.cn/resource-recycling.html,2024-09-10,,,,,
透明公开,环境信息披露率,20,mg/m³,55,mg/m³,130,mg/L,100,mg/L,0.92,%,0.96,%,0.95,%,0.80,%,0.2,信息透明模型,生态环境部,https://www.mee.gov.cn/public-information.html,2024-09-10,,,,,
管理改进,应急预案更新频率,22,mg/m³,67,mg/m³,145,mg/L,85,mg/L,0.90,%,0.95,%,0.95,%,0.84,%,0.15,风险管理模型,山东省环境保护厅,https://www.shandong.gov.cn/environment.html,2024-09-10,,,,,
法治导向,合规性审计通过率,18,mg/m³,62,mg/m³,135,mg/L,80,mg/L,0.87,%,0.92,%,0.95,%,0.76,%,0.1,合规性遵守模型,河南省应急管理厅,https://www.henan.gov.cn/regulations.html,2024-09-10,,,,,
健康安全,员工健康监测率,29,mg/m³,77,mg/m³,172,mg/L,115,mg/L,0.93,%,0.99,%,1.00,%,0.81,%,0.2,健康评估模型,北京市疾病预防控制中心,https://www.bjcdc.org/health-monitoring.html,2024-09-10,,,,,
污染物控制优先,污染物减少率,35,mg/m³,85,mg/m³,175,mg/L,110,mg/L,0.91,%,0.96,%,0.98,%,0.88,%,0.28,减排效果模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
节能减排优先,单位产品能耗,45,mg/m³,95,mg/m³,190,mg/L,130,mg/L,0.93,%,0.99,%,0.97,%,0.92,%,0.35,能耗评估模型,工业和信息化部,https://www.miit.gov.cn/,2024-09-10,,,,,
可持续发展,资源循环利用率,25,mg/m³,65,mg/m³,155,mg/L,85,mg/L,0.89,%,0.94,%,0.96,%,0.84,%,0.15,循环经济模型,中国环境保护协会,https://www.cepa.org.cn/,2024-09-10,,,,,
安全优先,安全隐患整改率,30,mg/m³,75,mg/m³,165,mg/L,105,mg/L,0.90,%,0.92,%,0.94,%,0.81,%,0.22,风险评估模型,国务院安全生产委员会,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
透明性优先,环境信息公开率,20,mg/m³,55,mg/m³,140,mg/L,80,mg/L,0.88,%,0.91,%,0.97,%,0.78,%,0.12,透明度评估模型,各省环境保护厅,https://www.gov.cn/zhengce/flfg/2023-01/01/,2024-09-10,,,,,
生态保护,生态恢复效果,15,mg/m³,50,mg/m³,135,mg/L,70,mg/L,0.92,%,0.89,%,0.95,%,0.85,%,0.2,生态评估模型,国家林业局,https://www.forestry.gov.cn/,2024-09-10,,,,,
智能化管理,数据安全性,32,mg/m³,68,mg/m³,160,mg/L,95,mg/L,0.91,%,0.97,%,0.99,%,0.90,%,0.27,信息安全评估模型,国家信息中心,https://www.sic.gov.cn/,2024-09-10,,,,,
行业标杆,最佳实践案例,10,mg/m³,40,mg/m³,120,mg/L,60,mg/L,0.95,%,0.95,%,1.00,%,0.97,%,0.3,案例评估模型,全国行业协会,https://www.nac.com.cn/,2024-09-10,,,,,
创新驱动,新技术应用率,28,mg/m³,58,mg/m³,145,mg/L,75,mg/L,0.87,%,0.92,%,0.96,%,0.83,%,0.25,技术评估模型,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
清洁生产,资源回收率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,91.00,%,0.96,%,0.95,%,82.00,%,0.28,环境影响评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
安全运营,设备故障率,35,mg/m³,75,mg/m³,190,mg/L,110,mg/L,93.00,%,0.99,%,1.00,%,88.00,%,0.22,风险管理模型,广州市科学技术局,https://www.gz.gov.cn/,2024-09-10,,,,,
创新驱动,新技术应用率,15,mg/m³,40,mg/m³,120,mg/L,70,mg/L,95.00,%,0.97,%,0.95,%,90.00,%,0.18,前沿技术评估模型,国家科技部,http://www.most.gov.cn/,2024-09-10,,,,,
风险控制,意外事件响应时间,45,mg/m³,85,mg/m³,140,mg/L,95,mg/L,87.00,%,0.94,%,0.95,%,78.00,%,0.2,事件响应模型,深圳市生态环境局,https://www.sz.gov.cn/,2024-09-10,,,,,
节能减排,能耗降低率,10,mg/m³,30,mg/m³,100,mg/L,65,mg/L,96.00,%,0.98,%,0.95,%,92.00,%,0.3,能效评估模型,浙江省经济和信息化厅,https://www.zhejiang.gov.cn/,2024-09-10,,,,,
环境合规,审核通过率,20,mg/m³,65,mg/m³,150,mg/L,80,mg/L,90.00,%,0.95,%,0.95,%,74.00,%,0.25,合规性审查模型,福建省生态环境厅,https://www.fujian.gov.cn/,2024-09-10,,,,,
社区责任,公众满意度,28,mg/m³,58,mg/m³,110,mg/L,75,mg/L,92.00,%,0.96,%,0.95,%,86.00,%,0.27,社会效益评估模型,天津市环境保护局,https://www.tianjin.gov.cn/,2024-09-10,,,,,
可持续发展,生态恢复水平,18,mg/m³,50,mg/m³,135,mg/L,92,mg/L,94.00,%,0.97,%,0.95,%,89.00,%,0.23,生态模型,重庆市生态环境局,http://www.cq.gov.cn/,2024-09-10,,,,,
信息透明,数据共享率,33,mg/m³,73,mg/m³,165,mg/L,105,mg/L,89.00,%,0.94,%,0.95,%,81.00,%,0.19,信息披露模型,湖北省环境保护厅,http://www.hubei.gov.cn/,2024-09-10,,,,,
环保优先,噪声控制,55,mg/m³,95,mg/m³,210,mg/L,160,mg/L,0.94,%,0.96,%,1.00,%,0.88,%,0.28,综合评价模型,北京环境保护局,https://www.bjepb.gov.cn,2024-09-10,,,,,
安全第一,环境事故率,35,mg/m³,75,mg/m³,165,mg/L,110,mg/L,0.91,%,0.95,%,0.98,%,0.82,%,0.22,风险评估模型,江苏省生态环境厅,https://www.jsehb.gov.cn,2024-09-10,,,,,
持续改进,清洁生产效率,25,mg/m³,68,mg/m³,150,mg/L,95,mg/L,0.89,%,0.97,%,0.99,%,0.80,%,0.25,效益分析模型,山东省科技厅,https://www.sdmost.gov.cn,2024-09-10,,,,,
合规性优先,企业标准遵守,15,mg/m³,55,mg/m³,135,mg/L,85,mg/L,0.87,%,0.94,%,0.96,%,0.78,%,0.17,合规性检验模型,深圳市生态环境局,https://www.sz.gov.cn/zhengce,2024-09-10,,,,,
创新为先,绿色技术应用,20,mg/m³,50,mg/m³,145,mg/L,90,mg/L,0.85,%,0.92,%,0.97,%,0.76,%,0.2,技术审查模型,广东省环境保护厅,https://www.gdep.gov.cn,2024-09-10,,,,,
安全优先,事故频发率,45,mg/m³,85,mg/m³,175,mg/L,130,mg/L,0.93,%,0.91,%,0.99,%,0.83,%,0.3,安全评定模型,天津市应急管理局,https://www.tianjin.gov.cn,2024-09-10,,,,,
可持续发展,资源节约,33,mg/m³,77,mg/m³,155,mg/L,115,mg/L,0.90,%,0.98,%,1.00,%,0.79,%,0.23,节能评估模型,陕西省环境保护厅,https://www.snhc.gov.cn,2024-09-10,,,,,
节能优先,能耗控制,12,mg/m³,48,mg/m³,120,mg/L,80,mg/L,0.92,%,0.99,%,0.98,%,0.85,%,0.19,能耗评价模型,湖南省发改委,https://www.hunan.gov.cn,2024-09-10,,,,,
法规遵循,标准执行率,18,mg/m³,62,mg/m³,130,mg/L,100,mg/L,0.91,%,0.95,%,0.97,%,0.82,%,0.16,法规评估模型,四川省环境保护厅,https://www.sc.gov.cn,2024-09-10,,,,,
环境绩效提升,废物回收率,35,mg/m³,85,mg/m³,150,mg/L,110,mg/L,91.00,%,0.96,%,0.95,%,0.87,%,0.28,绩效评价模型,环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全可持续性,事故响应时间,25,mg/m³,50,mg/m³,130,mg/L,80,mg/L,89.00,%,0.94,%,0.95,%,0.82,%,0.22,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,2024-09-10,,,,,
资源节约,能源使用效率,45,mg/m³,75,mg/m³,195,mg/L,140,mg/L,92.00,%,0.97,%,0.95,%,0.86,%,0.32,综合评估模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
透明度优先,公众投诉率,50,mg/m³,95,mg/m³,210,mg/L,160,mg/L,93.00,%,0.99,%,1.00,%,0.91,%,0.2,透明度评价模型,省环境保护厅,https://www.sepa.gov.cn/,2024-09-10,,,,,
聚焦合规,政策遵循率,15,mg/m³,65,mg/m³,120,mg/L,70,mg/L,90.00,%,0.91,%,0.95,%,0.78,%,0.17,合规性分析模型,江苏省公安厅,https://www.js.gov.cn/,2024-09-10,,,,,
社会责任,社区参与度,38,mg/m³,58,mg/m³,135,mg/L,85,mg/L,87.00,%,0.93,%,0.95,%,0.79,%,0.24,参与度评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
技能提升,员工培训覆盖率,29,mg/m³,72,mg/m³,145,mg/L,95,mg/L,91.00,%,0.95,%,0.95,%,0.84,%,0.19,员工发展模型,国家人力资源与社会保障部,https://www.mohrss.gov.cn/,2024-09-10,,,,,
前瞻性创新,新技术应用率,22,mg/m³,42,mg/m³,125,mg/L,60,mg/L,88.00,%,0.90,%,0.95,%,0.80,%,0.23,技术评估模型,工业和信息化部,https://www.miit.gov.cn/,2024-09-10,,,,,
生态平衡,生态修复面积,18,mg/m³,55,mg/m³,115,mg/L,50,mg/L,92.00,%,0.92,%,0.95,%,0.76,%,0.26,生态系统评估模型,自然资源部,https://www.mnr.gov.cn/,2024-09-10,,,,,
环保优先,资源使用效率,35,mg/m³,90,mg/m³,175,mg/L,110,mg/L,0.93,%,0.97,%,1.00,%,0.85,%,0.2,综合评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,职业病发生率,25,mg/m³,55,mg/m³,130,mg/L,80,mg/L,0.90,%,0.96,%,0.98,%,0.88,%,0.3,事件分析模型,国家卫生健康委员会,https://www.nhc.gov.cn/,2024-09-10,,,,,
持续改进,设备完好率,45,mg/m³,85,mg/m³,165,mg/L,125,mg/L,0.92,%,0.94,%,0.99,%,0.79,%,0.25,数据分析模型,工业和信息化部,https://www.miit.gov.cn/,2024-09-10,,,,,
合规性优先,设施安全检测,15,mg/m³,45,mg/m³,120,mg/L,70,mg/L,0.95,%,0.98,%,1.00,%,0.83,%,0.1,风险评估模型,北京市生态环境局,https://epb.beijing.gov.cn/,2024-09-10,,,,,
安全第一,消防安全指标,55,mg/m³,95,mg/m³,190,mg/L,140,mg/L,0.91,%,0.95,%,0.97,%,0.81,%,0.4,复合评分模型,消防救援局,https://www.msa.gov.cn/,2024-09-10,,,,,
持续改进,生产效率,50,mg/m³,100,mg/m³,205,mg/L,155,mg/L,0.87,%,0.89,%,0.96,%,0.84,%,0.28,动态调整模型,中国科学院,https://www.cas.cn/,2024-09-10,,,,,
合规性优先,环保设施完备情况,10,mg/m³,35,mg/m³,110,mg/L,65,mg/L,0.98,%,0.99,%,0.99,%,0.87,%,0.15,合规性监控模型,环保组织,https://www.ceep.org.cn/,2024-09-10,,,,,
环保优先,可再生能源利用,20,mg/m³,40,mg/m³,150,mg/L,100,mg/L,0.90,%,0.96,%,0.98,%,0.82,%,0.22,环境效益模型,国家可再生能源中心,https://www.nrel.gov.cn/,2024-09-10,,,,,
合规性优先,排放许可合规,30,mg/m³,80,mg/m³,170,mg/L,115,mg/L,0.94,%,0.97,%,0.99,%,0.78,%,0.18,合规性合规模型,地方政府环境管理局,https://www.environment.gov.cn/,2024-09-10,,,,,
资源节约,能耗标准达标率,45,mg/m³,90,mg/m³,185,mg/L,115,mg/L,0.91,%,0.96,%,0.98,%,0.88,%,0.28,能效跟踪模型,湖南省生态环境厅,https://www.hunan.gov.cn/xxgk/202331/153686.html,2024-09-10,,,,,
绿色生产,环保投资比例,35,mg/m³,75,mg/m³,170,mg/L,130,mg/L,0.93,%,0.99,%,0.97,%,0.92,%,0.22,投资回报分析模型,国家发改委,https://www.ndrc.gov.cn/,2024-09-10,,,,,
公众健康,有害物质排放监控,55,mg/m³,85,mg/m³,210,mg/L,155,mg/L,0.89,%,0.97,%,0.99,%,0.87,%,0.26,健康影响评估模型,北京市卫生健康委员会,http://wsjkw.beijing.gov.cn/,2024-09-10,,,,,
科技创新,环保技术应用率,42,mg/m³,77,mg/m³,175,mg/L,140,mg/L,0.94,%,0.95,%,0.97,%,0.90,%,0.21,技术评估模型,杭州科技局,http://www.hangzhou.gov.cn/,2024-09-10,,,,,
企业自律,内部审核发现率,38,mg/m³,68,mg/m³,160,mg/L,110,mg/L,0.90,%,0.98,%,1.00,%,0.85,%,0.19,自我评估模型,河北省环保局,http://www.hebei.gov.cn/,2024-09-10,,,,,
国际标准,ISO认证比例,29,mg/m³,65,mg/m³,135,mg/L,95,mg/L,0.92,%,0.94,%,0.96,%,0.78,%,0.2,认证合规性模型,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn/,2024-09-10,,,,,
地区平衡,地方政策执行度,48,mg/m³,82,mg/m³,190,mg/L,125,mg/L,0.90,%,0.91,%,0.98,%,0.89,%,0.24,地区政策分析模型,天津市政府,http://www.tianjin.gov.cn/,2024-09-10,,,,,
创新科技,清洁能源应用比例,54,mg/m³,92,mg/m³,205,mg/L,145,mg/L,0.88,%,0.87,%,0.97,%,0.84,%,0.23,清洁能源评估模型,中国能源局,http://www.nea.gov.cn/,2024-09-10,,,,,
生态修复,土壤污染修复率,27,mg/m³,63,mg/m³,150,mg/L,80,mg/L,0.91,%,0.96,%,0.99,%,0.93,%,0.18,生态修复评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
绿色发展,资源利用效率,22,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.97,%,0.85,%,0.3,效益评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全优先,事故应急响应时间,35,mg/m³,72,mg/m³,150,mg/L,95,mg/L,0.89,%,0.94,%,0.92,%,0.82,%,0.28,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,2024-09-10,,,,,
生态优先,生物多样性保护,25,mg/m³,68,mg/m³,140,mg/L,80,mg/L,0.93,%,0.97,%,0.98,%,0.88,%,0.25,综合绩效模型,自然资源部,https://www.mnr.gov.cn/,2024-09-10,,,,,
责任透明,社会责任履行,18,mg/m³,50,mg/m³,120,mg/L,75,mg/L,0.90,%,0.95,%,0.93,%,0.80,%,0.18,透明度评估模型,中国社会科学院,http://www.cass.cn/,2024-09-10,,,,,
持续创新,新技术应用率,28,mg/m³,66,mg/m³,135,mg/L,78,mg/L,0.92,%,0.98,%,0.99,%,0.84,%,0.27,技术应用评估模型,中国工程院,http://www.cae.cn/,2024-09-10,,,,,
法律遵从,法务审查合格率,17,mg/m³,62,mg/m³,115,mg/L,70,mg/L,0.89,%,0.92,%,0.90,%,0.77,%,0.2,合规性监测模型,煤矿安全监察局,http://www.chinacoal.gov.cn/,2024-09-10,,,,,
公众参与,环保意识提升,29,mg/m³,64,mg/m³,125,mg/L,73,mg/L,0.95,%,0.96,%,0.94,%,0.83,%,0.22,社会反馈模型,全国环境保护公众舆论调查中心,http://www.epb.gov.cn/,2024-09-10,,,,,
经济实用,成本控制效果,21,mg/m³,58,mg/m³,145,mg/L,82,mg/L,0.88,%,0.91,%,0.92,%,0.79,%,0.19,成本效益模型,财政部,http://www.mof.gov.cn/,2024-09-10,,,,,
国际标准,ISO认证达标率,34,mg/m³,74,mg/m³,110,mg/L,67,mg/L,0.96,%,0.99,%,0.99,%,0.86,%,0.24,国际评估模型,国际标准化组织,https://www.iso.org/,2024-09-10,,,,,
循环经济,资源回收率,45,mg/m³,85,mg/m³,190,mg/L,125,mg/L,0.91,%,0.97,%,0.98,%,0.88,%,0.28,综合评分模型,国家资源循环利用部,https://www.mnr.gov.cn/,2024-09-10,,,,,
降低排放,排放量年度对比,35,mg/m³,70,mg/m³,155,mg/L,110,mg/L,0.93,%,0.95,%,0.97,%,0.85,%,0.3,年度对比分析,中国环境保护部,http://www.mee.gov.cn/,2024-09-10,,,,,
安全优先,作业安全达标率,25,mg/m³,50,mg/m³,130,mg/L,80,mg/L,0.90,%,0.90,%,0.94,%,0.82,%,0.22,实时监测评估,全国安全生产监管局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
绿色发展,环保设施完备率,30,mg/m³,40,mg/m³,145,mg/L,95,mg/L,0.92,%,0.96,%,0.99,%,0.90,%,0.25,标准达成模型,生态环境部,http://www.mee.gov.cn/,2024-09-10,,,,,
节能减排,能源消耗效率,55,mg/m³,110,mg/m³,210,mg/L,160,mg/L,0.94,%,0.99,%,1.00,%,0.93,%,0.35,效率绩效模型,中国节能环保协会,http://www.chinaee.net/,2024-09-10,,,,,
创新驱动,新技术应用率,28,mg/m³,55,mg/m³,135,mg/L,78,mg/L,0.87,%,0.88,%,0.96,%,0.86,%,0.2,技术应用评估,国家科技部,http://www.most.gov.cn/,2024-09-10,,,,,
健康和安全,健康事故发生率,18,mg/m³,45,mg/m³,120,mg/L,70,mg/L,0.86,%,0.91,%,0.98,%,0.79,%,0.18,风险评估模型,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-10,,,,,
透明度优先,信息披露及时性,22,mg/m³,58,mg/m³,135,mg/L,76,mg/L,0.89,%,0.92,%,0.99,%,0.83,%,0.16,信息透明度评估,国家统计局,http://www.stats.gov.cn/,2024-09-10,,,,,
社区影响,社会责任履行,24,mg/m³,62,mg/m³,142,mg/L,88,mg/L,0.92,%,0.95,%,1.00,%,0.89,%,0.3,社区影响模型,中国社会科学院,http://www.cssn.cn/,2024-09-10,,,,,
环保优先,能源消耗效率,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.93,%,0.96,%,0.95,%,0.88,%,0.35,能效评估模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
安全第一,事故应急响应时间,35,mg/m³,75,mg/m³,175,mg/L,110,mg/L,0.91,%,0.95,%,0.95,%,0.82,%,0.25,应急响应模型,广州安全生产监督管理局,https://www.gz.gov.cn/zwgk/xzcf/,2024-09-10,,,,,
持续改进,废物回收率,25,mg/m³,65,mg/m³,150,mg/L,95,mg/L,0.89,%,0.94,%,0.95,%,0.78,%,0.2,回收率分析模型,国际环境保护组织,https://www.iucn.org/,2024-09-10,,,,,
合规性优先,审计合规报告提交率,20,mg/m³,55,mg/m³,140,mg/L,80,mg/L,0.87,%,0.91,%,0.95,%,0.72,%,0.15,合规审计模型,北京环境保护局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
智能化管理,实时数据分析效率,15,mg/m³,50,mg/m³,130,mg/L,70,mg/L,0.85,%,0.90,%,0.95,%,0.70,%,0.3,大数据分析模型,工业和信息化部,http://www.miit.gov.cn/,2024-09-10,,,,,
环保优先,可再生能源使用率,10,mg/m³,40,mg/m³,120,mg/L,60,mg/L,0.95,%,0.98,%,0.95,%,0.85,%,0.4,清洁能源评估模型,国家可再生能源中心,https://www.cnrec.org.cn/,2024-09-10,,,,,
安全第一,安全管理体系标准执行率,38,mg/m³,78,mg/m³,165,mg/L,115,mg/L,0.90,%,0.92,%,0.95,%,0.80,%,0.28,管理标准评估模型,中国安全生产协会,http://www.cspm.org.cn/,2024-09-10,,,,,
持续改进,环境影响报告编制率,22,mg/m³,52,mg/m³,155,mg/L,85,mg/L,0.88,%,0.89,%,0.95,%,0.74,%,0.18,环境影响评估模型,中国环境报,http://www.cenews.com.cn/,2024-09-10,,,,,
合规性优先,环境管理系统认证率,19,mg/m³,58,mg/m³,145,mg/L,93,mg/L,0.86,%,0.88,%,0.95,%,0.73,%,0.14,认证合规模型,国家市场监督管理总局,http://www.samr.gov.cn/,2024-09-10,,,,,
智能化管理,自动化控制系统运行率,17,mg/m³,45,mg/m³,135,mg/L,65,mg/L,0.84,%,0.90,%,0.95,%,0.69,%,0.32,自动控制评估模型,智能制造产业协会,http://www.cmie.org.cn/,2024-09-10,,,,,
法规遵循,废物处理合规率,35,mg/m³,90,mg/m³,175,mg/L,110,mg/L,0.91,%,0.96,%,0.97,%,0.85,%,0.28,合规模型,北京市生态环境局,https://www.bjepb.gov.cn,2024-09-10,,,,,
创新优先,绿色技术应用率,25,mg/m³,65,mg/m³,130,mg/L,85,mg/L,0.85,%,0.94,%,1.00,%,0.80,%,0.2,创新评估模型,上海市科学技术委员会,https://www.stcsm.gov.cn,2024-09-10,,,,,
经济有效,成本控制,45,mg/m³,75,mg/m³,190,mg/L,130,mg/L,0.89,%,0.99,%,0.98,%,0.90,%,0.22,成本效益模型,广东省发展改革委,https://www.gddrc.gov.cn,2024-09-10,,,,,
健康安全,职业健康事故率,28,mg/m³,55,mg/m³,145,mg/L,95,mg/L,0.87,%,0.95,%,0.96,%,0.78,%,0.17,安全管理模型,人民健康网,https://www.peoplehealth.cn,2024-09-10,,,,,
环境保护,水质污染物监测合规率,32,mg/m³,82,mg/m³,165,mg/L,115,mg/L,0.92,%,0.97,%,0.99,%,0.87,%,0.26,环境保护评估模型,江苏省生态环境厅,https://www.jsepb.gov.cn,2024-09-10,,,,,
可持续发展,能源使用效率,38,mg/m³,78,mg/m³,155,mg/L,105,mg/L,0.93,%,0.98,%,0.97,%,0.88,%,0.25,能源评估模型,国家能源局,https://www.nea.gov.cn,2024-09-10,,,,,
公众参与,公众反馈响应率,27,mg/m³,74,mg/m³,148,mg/L,98,mg/L,0.89,%,0.90,%,0.95,%,0.82,%,0.19,公众意见评估模型,国务院发展研究中心,http://www.drc.gov.cn,2024-09-10,,,,,
人才培养,环保教育普及率,30,mg/m³,67,mg/m³,160,mg/L,105,mg/L,0.90,%,0.92,%,0.96,%,0.84,%,0.21,教育影响评估模型,全国环境教育中心,http://www.ceea.org.cn,2024-09-10,,,,,
整个产业链管理,上下游环境责任落实率,33,mg/m³,79,mg/m³,170,mg/L,112,mg/L,0.86,%,0.94,%,0.97,%,0.81,%,0.23,产业链评价模型,工业和信息化部,https://www.miit.gov.cn,2024-09-10,,,,,
环保优先,废气处理效率,45,mg/m³,95,mg/m³,210,mg/L,140,mg/L,0.93,%,0.97,%,0.99,%,0.88,%,0.35,综合评估法,环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全优先,安全监管合规率,35,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.95,%,0.98,%,0.82,%,0.3,风险评估模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
持续改进,能源使用效率,30,mg/m³,65,mg/m³,150,mg/L,80,mg/L,0.89,%,0.94,%,0.96,%,0.78,%,0.2,数据分析模型,中国电力公司,http://www.sgcc.com.cn/,2024-09-10,,,,,
合规性优先,政策实施效果,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.87,%,0.92,%,0.94,%,0.72,%,0.15,政策效果评估模型,环保行业协会,http://www.chinahpa.org.cn/,2024-09-10,,,,,
环保优先,固废处理合规率,55,mg/m³,120,mg/m³,190,mg/L,160,mg/L,0.94,%,0.99,%,1.00,%,0.91,%,0.4,混合加权模型,国家统计局,http://www.stats.gov.cn/,2024-09-10,,,,,
安全第一,职业病发生率,40,mg/m³,90,mg/m³,160,mg/L,100,mg/L,0.92,%,0.96,%,0.97,%,0.85,%,0.25,安全管理模型,卫生健康委员会,http://www.nhc.gov.cn/,2024-09-10,,,,,
持续改进,设备优化程度,29,mg/m³,68,mg/m³,155,mg/L,95,mg/L,0.90,%,0.93,%,0.95,%,0.80,%,0.18,高效管理模型,机械工程学会,https://www.cmes.org/,2024-09-10,,,,,
合规性优先,产品环保认证率,22,mg/m³,50,mg/m³,135,mg/L,75,mg/L,0.86,%,0.90,%,0.92,%,0.70,%,0.15,企业合规性检验模型,质量监督局,http://www.aqsiq.gov.cn/,2024-09-10,,,,,
环保优先,水污染防控成效,48,mg/m³,105,mg/m³,210,mg/L,145,mg/L,0.91,%,0.98,%,0.99,%,0.86,%,0.33,水质管理模型,水利部,http://www.mwr.gov.cn/,2024-09-10,,,,,
安全第一,生产安全成本,32,mg/m³,85,mg/m³,165,mg/L,90,mg/L,0.88,%,0.91,%,0.96,%,0.83,%,0.28,成本效益分析模型,经济和信息化部,http://www.miit.gov.cn/,2024-09-10,,,,,
绿色发展,可再生资源利用率,35,mg/m³,80,mg/m³,150,mg/L,110,mg/L,91.00,%,0.96,%,0.95,%,0.88,%,0.28,综合评估模型,国家环保局,https://www.mee.gov.cn/,2024-09-10,,,,,
资源节约,综合能源消耗,45,mg/m³,90,mg/m³,170,mg/L,130,mg/L,89.00,%,0.94,%,0.95,%,0.85,%,0.2,节能降耗模型,北京市生态环境局,https://epb.bj.gov.cn/,2024-09-10,,,,,
技术创新,新技术应用率,25,mg/m³,50,mg/m³,130,mg/L,80,mg/L,93.00,%,0.97,%,0.95,%,0.92,%,0.35,技术评价模型,中国科学技术协会,https://www.cast.org.cn/,2024-09-10,,,,,
社区责任,公众满意度调查,15,mg/m³,40,mg/m³,120,mg/L,70,mg/L,94.00,%,0.95,%,1.00,%,0.95,%,0.18,反馈评估模型,社会责任研究中心,https://www.srrc.org.cn/,2024-09-10,,,,,
