名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注,,,
智能水浸检测器,小米,Mi Water Sensor,一年保修,MIUI Lite,小米,ARM Cortex-M3,MCP2221,APP控制,防水监测工具,水浸报警，实时监测漏水,家庭安全,2023-03-12,家庭智能设备论坛,https://www.smartdevicetalk.com,2024-09-13,,,,
智能窗帘控制器,TP-Link,Smart Curtain 500,一年保修,Tapo OS,TP-Link,ARM Cortex-A53,NXP LPC54100,语音控制,环境调节工具,自动开关窗帘，节能省电,家庭自动化,2022-09-01,家电行业资讯,https://www.applianceinsights.com,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool DP04,两年保修,Dyson Link,Dyson,IMX219,NVIDIA Jetson Nano,APP控制,空气质量监测工具,过滤空气，提供洁净室内环境,家庭健康,2021-11-05,智能家居产品评测网,https://www.smartproductreviews.com,2024-09-13,,,,
智能厨房机器人,ChefBot,ChefBot 1.0,一年保修,Chef OS,ChefBot Corp,ARM Cortex-A55,Raspberry Pi 4,语音控制及APP控制,助理厨师工具,根据食谱自动操作烹饪,家庭烹饪,2023-01-20,行业信息发布平台,https://www.kitchennews.com,2024-09-13,,,,
智能监控系统,安士达,ASD-V600,两年保修,ASD OS,安士达科技,ARM Cortex-A72,Image Sensor HC-SR501,APP控制,安全监控助手,家庭监控及报警系统,家庭安防,2023-02-15,安全监控行业报告,https://www.safetysecurity.com,2024-09-13,,,,
智能育儿助手,Hatch,Hatch Rest,一年保修,Hatch OS,Hatch Tech,ARM Cortex-A53,Nordic nRF52832,APP控制,亲子互动工具,遥控夜灯与声音安抚，助力宝宝睡眠,家庭育儿,2022-04-30,育儿行业观察,https://www.parentingreports.com,2024-09-13,,,,
智能花园灌溉系统,Gardena,Garden Smart 200,三年保修,Gardena OS,Gardena,ARM Cortex-M4,TI MSP430,APP控制,植物照护工具,根据土壤湿度自动调节灌溉,家庭园艺,2022-06-20,园艺新闻资讯,https://www.gardeningnews.com,2024-09-13,,,,
智能垃圾桶,Simplehuman,Sensor Can,一年保修,Simplehuman OS,Simplehuman,ARM Cortex-M0+,ESP32,感应控制,智能清洁工具,自动开盖与闭合，便捷清理,家庭清洁,2023-05-10,清洁设备市场报告,https://www.cleaningequipment.com,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Smart Curtain,一年保修,米家OS,小米,ARM Cortex-A53,Silicon Labs EFM32,APP控制,环境调节工具,通过手机APP控制窗帘开合，定时功能,家庭遮光,2022-04-15,智能家居行业观察,https://www.smart-home.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link App,戴森,ARM Cortex-A7,Texas Instruments CC2642R,语音控制,空气质量监测工具,实时监测空气质量，并智能调节喷风,家庭健康,2021-09-10,消费者产品报告,https://www.consumerreports.org,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,三年保修,Tizen,三星电子,ARM Cortex-A53,Samsung Exynos,触摸屏与语音控制,家庭食材助手,智能管理家中食材与日历功能,家庭厨房,2022-01-20,厨房电子市场报告,https://www.kitchen.org,2024-09-13,,,,
智能洗衣机,LG,LG ThinQ Washer,两年保修,LG ThinQ,LG,ARM Cortex-A9,MediaTek MT7620A,APP控制,家务助手,智能调整洗涤模式，节能省水,家庭洗衣,2020-11-30,家电行业日报,https://www.appliancetoday.com,2024-09-13,,,,
智能宠物喂食器,PetKit,PetKit Fresh,一年保修,PetKit OS,PetKit,ARM Cortex-M4,Nordic nRF52840,APP控制,宠物照料工具,定时喂食，智能监控宠物饮食,家庭宠物照顾,2023-05-05,宠物产品行业观察,https://www.petsproducts.com,2024-09-13,,,,
智能温控器,Ecobee,Ecobee SmartThermostat,三年保修,Ecobee OS,Ecobee,ARM Cortex-A72,Qualcomm Snapdragon,APP控制,环境调节工具,智能学习与调节室温,家庭温控,2023-02-18,未来智能家居展,https://www.smartlivingexpo.com,2024-09-13,,,,
智能安防系统,Ring,Ring Alarm Kit,一年保修,Ring OS,Ring,ARM Cortex-M4,NXP Kinetis K64,APP控制,家庭安防助手,全方位家庭监控与警报系统,家庭安全,2022-08-15,安防行业市场研究,https://www.safetyproducts.com,2024-09-13,,,,
智能空气监测器,Xiaomi,Mi Air Quality Monitor,一年保修,MIUI,小米,ARM Cortex-M4,Espressif ESP8266,APP控制,空气质量监控工具,实时监测空气质量，并提供数据分析,家庭健康,2023-03-22,环境监测调查公司,https://www.envmon.com,2024-09-13,,,,
智能鞋柜,Shoebox,Smart Closet,一年保修,Shoebox OS,Shoebox,ARM Cortex-A7,Rockchip RK3328,触控与APP控制,鞋类管理工具,智能监测鞋子干燥与存储,家庭储物,2023-01-30,智能家居创新研讨会,https://www.smart-hometech.com,2024-09-13,,,,
智能家居中央控制器,华为,Hub 3000,两年保修,Harmony OS,华为,Kirin 990,华为自研芯片,语音操控,智能助手,综合控制所有智能设备，支持多种平台,家庭自动化,2022-03-15,华为官方新闻,https://www.huawei.com,2024-09-13,,,,
智能吸尘器,iRobot,Roomba i7,一年保修,iRobot OS,iRobot,ARM Cortex-A53,NXP i.MX6,APP控制,清洁助手,自动清扫，支持区域清洁,家庭清洁,2021-10-01,家居用品评测网,https://www.housewarereviews.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Sivoia QS,两年保修,Lutron OS,Lutron,Texas Instruments DSP,Sitara AM335x,APP控制,环境适应工具,智能调节窗帘，优化光线,家庭照明,2021-05-20,建筑智能化技术,https://www.automatedbuildings.com,2024-09-13,,,,
智能水杯,HidrateSpark,HidrateSpark 3,一年保修,自定义OS,HidrateSpark,Nordic nRF52832,Nordic Semiconductor,APP控制,健康助手,跟踪每日饮水量，提供提醒,家庭健康,2021-06-01,健康科技新闻,https://www.healthtechnews.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link,Dyson,ARM Cortex-A9,NXP LPC1227,APP控制,空气质量监测工具,实时监测空气质量，空气净化,家庭空气质量改善,2020-11-10,智能家居论坛,https://www.smarthomeforum.com,2024-09-13,,,,
智能冰箱,三星,Family Hub,三年保修,Tizen,三星,Exynos 7870,Samsung Custom IC,触控显示屏控制,家电智能助手,智能食物管理，食谱推荐,家庭厨房,2022-08-15,智能家居媒体,https://www.smarthomemedia.com,2024-09-13,,,,
智能监控系统,大华,DH-IPC-HDW5231R-Z,一年保修,Dahua OS,大华,HiSilicon Hi3516D,HiSilicon,APP控制,安全监控系统,高清监控，支持云存储,家庭安防,2021-12-01,安防行业研究,https://www.securityindustryresearch.com,2024-09-13,,,,
智能食谱管理器,KitchenAid,Smart Recipe Assistant,两年保修,KitchenAid OS,KitchenAid,Intel Atom,Intel Custom IC,触控和语音控制,烹饪助手,提供个性化食谱建议，支持购物清单,家庭厨房,2022-07-10,厨房技术杂志,https://www.kitchentechmagazine.com,2024-09-13,,,,
智能洗衣机,LG,WashTower,两年保修,ThinQ,LG Electronics,Qualcomm Snapdragon 212,Qualcomm Custom IC,APP控制,家庭管理工具,智能洗衣程序选择，节能洗涤,家庭洗衣,2021-09-15,家电市场研究报告,https://www.applianceindustries.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Caseta Wireless,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M4,Texas Instruments CC2530,APP控制,环境管理工具,智能窗帘开闭，光线调节,家庭环境控制,2022-02-20,智能家居电子报告,https://www.lutron.com/,2024-09-13,,,,
智能温湿度计,GROVE,Grove - Temperature & Humidity Sensor,一年保修,Grove OS, Seeed Technology,ARM Cortex-M0,DHT11,APP及语音控制,环境监测工具,实时监测家中温湿度,家庭气候监管,2023-01-15,技术小组研究报告,https://www.seeedstudio.com/,2024-09-13,,,,
智能镜子,Samsung,Magic Mirror,一年保修,Tizen OS,Samsung Electronics,Exynos 9810,Samsung Exynos,触控及语音控制,生活助理工具,显示天气、日程及健康信息,家庭美容,2023-04-10,家电行业展望,https://www.samsung.com/,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link,Dyson Ltd.,ARM Cortex-A53,APPS,APP及声控,空气品質控測工具,实时监测及净化空气,家庭空气质量管理,2022-10-01,环境科技杂志,https://www.dyson.com/,2024-09-13,,,,
智能冰箱,LG,Instaview Refrigerator,三年保修,WebOS,LG Electronics,ARM Cortex-A9,NXP IMX6,触控及手机控制,智能家居管理工具,能够查看冰箱内部，避免开门,家庭食品管理,2021-12-25,家电发展趋势,https://www.lg.com/,2024-09-13,,,,
智能烟雾探测器,X-Sense,XS01-WR,一年保修,自有系统,X-Sense,ARM Cortex-M3,Silicon Labs EFR32BG1,APP控制和提醒,安全监测工具,火灾预警及烟雾检测,家庭安全,2023-03-05,安全产品评测,https://x-sense.com/,2024-09-13,,,,
智能健身设备,Fitbit,Fitbit Charge 5,一年保修,Fitbit OS,Fitbit LLC,ARM Cortex-M4,Nordic Semiconductor nRF52840,触控及APP控制,健康跟踪工具,跟踪健身活动及健康指标,家庭健康管理,2022-08-15,健康科技观察,https://www.fitbit.com/,2024-09-13,,,,
智能洗衣机,Bosch,Serie 6 WAN28201GB,两年保修,自有系统,Bosch Home Appliances,ARM Cortex-A7,STMicroelectronics STEVAL,APP控制和触控,家电控制工具,智能洗涤模式，节能高效,家庭清洁,2021-05-22,家电行业分析报告,https://www.bosch-home.com/,2024-09-13,,,,
智能家居安全系统,Ring,Ring Alarm,一年保修,Ring OS,Amazon,ARM Cortex-A53,Qualcomm Snapdragon,APP控制及警报,家庭安全工具,监控、报警及响应系统,家庭安全监控,2022-09-30,安防产品行业洞察,https://ring.com/,2024-09-13,,,,
