年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023年,英国,900,个,金融、保险,智能合约、去中心化金融（DeFi）,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,巴西,620,个,物流、金融,跨境支付、货运跟踪,巴西信息技术研究所,http://www.brasil.gov.br/,,,,,,,,,,,,,
2023年,法国,850,个,艺术、金融,数字艺术品、版权管理,法国文化部,http://www.culture.gouv.fr/,,,,,,,,,,,,,
2023年,新西兰,250,个,农业、政府,土地登记、透明公共记录,新西兰政府,https://www.govt.nz/,,,,,,,,,,,,,
2023年,加拿大,680,个,教育、金融,学历验证、贷款申请,加拿大银行,https://www.bankofcanada.ca/,,,,,,,,,,,,,
2023年,南非,400,个,金融、物流,转账交易、供应链管理,南非储备银行,https://www.resbank.co.za/,,,,,,,,,,,,,
2023年,澳大利亚,550,个,医疗、金融,患者数据管理、保险理赔,澳大利亚医疗协会,https://www.ama.com.au/,,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,农产品溯源、支付解决方案,NITI Aayog,https://niti.gov.in,,,,,,,,,,,,,
2024年,阿根廷,600,个,物流、政府,智能合约、透明采购,阿根廷政府,https://www.argentina.gob.ar,,,,,,,,,,,,,
2024年,英国,1100,个,金融、教育,学位认证、金融交易,UK Finance,https://www.ukfinance.org.uk,,,,,,,,,,,,,
2024年,加拿大,750,个,能源、环境,清洁能源交易、环境监测,Natural Resources Canada,https://www.nrcan.gc.ca,,,,,,,,,,,,,
2023年,巴西,400,个,农业、金融,土地登记、贷款管理,巴西农业部,http://www.gov.br/agricultura,,,,,,,,,,,,,
2023年,以色列,650,个,科技、医疗,健康数据管理、研发透明度,以色列创新局,https://innovationisrael.org.il,,,,,,,,,,,,,
2024年,新西兰,350,个,农业、金融,农产品信用评估、透明交易,New Zealand Ministry of Primary Industries,https://www.mpi.govt.nz,,,,,,,,,,,,,
2023年,南非,500,个,金融、政府,身份验证、避免腐败,南非储备银行,https://www.resbank.co.za,,,,,,,,,,,,,
2024年,沙特阿拉伯,900,个,能源、政务,石油交易跟踪、数字政府服务,Saudi Ministry of Energy,https://www.energy.gov.sa,,,,,,,,,,,,,
2024年,芬兰,250,个,供应链、政府,清晰的供应链跟踪、公共记录,芬兰科技委员会,https://www.teknologiateollisuus.fi,,,,,,,,,,,,,
2023年,英国,940,个,金融、教育,学历认证、智能合约,英国区块链协会,https://www.ukblockchainassociation.org/,,,,,,,,,,,,,
2023年,印度,1500,个,农业、供应链,农产品追踪、交易透明,印度信息技术部,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,阿联酋,620,个,政务、金融,居民身份管理、智慧城市,阿联酋数字经济部,https://www.moe.gov.ae/,,,,,,,,,,,,,
2023年,巴西,850,个,农业、金融,农业贷款、溯源系统,巴西农业部,https://www.gov.br/agricultura/,,,,,,,,,,,,,
2023年,加拿大,780,个,金融、医疗,患者数据管理、保险索赔,加拿大科技部,https://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,,,,,,,,,,,,,
2023年,新西兰,340,个,物流、贸易,供应链透明度、跨国贸易,新西兰贸易部,https://www.mbie.govt.nz/,,,,,,,,,,,,,
2023年,澳大利亚,720,个,金融、环境,碳交易、金融服务,澳大利亚证券投资委员会,https://asic.gov.au/,,,,,,,,,,,,,
2023年,新西兰,450,个,艺术、娱乐,数字艺术交易、NFT,新西兰艺术委员会,https://www.creativenz.govt.nz/,,,,,,,,,,,,,
2023年,南非,590,个,银行、保险,信用记录、欺诈防范,南非银行协会,https://www.banking.org.za/,,,,,,,,,,,,,
2023年,瑞士,920,个,金融、投资,资产管理、投资透明,瑞士金融市场监管局,https://www.finma.ch/en/,,,,,,,,,,,,,
2023年,印度,750,个,农业、金融,农产品溯源、供应链融资,印度国家信息技术局,https://www.nitc.gov.in,,,,,,,,,,,,,
2023年,巴西,600,个,金融、选举,投票系统、身份验证,巴西银行,https://www.bcb.gov.br,,,,,,,,,,,,,
2023年,德国,1000,个,汽车、能源,车辆身份、能源交易,德国工业联合会,https://www.bdi.eu,,,,,,,,,,,,,
2023年,新西兰,450,个,农业、实时数据监控,畜牧业溯源、天气数据分享,新西兰科学与工业研究组织,https://www.scionresearch.com,,,,,,,,,,,,,
2023年,南非,400,个,保险、金融服务,风险管理、智能合约,南非金融监管机构,https://www.fsca.co.za,,,,,,,,,,,,,
2023年,澳大利亚,950,个,健康、金融,患者数据管理、支付处理,澳大利亚政府数字服务,https://www.dta.gov.au,,,,,,,,,,,,,
2023年,俄罗斯,350,个,运输、政府,物流跟踪、身份验证,俄罗斯数字经济部,https://www.minsvyaz.ru,,,,,,,,,,,,,
2023年,英国,1700,个,金融、法律,资产管理、合同执行,金融行为监管局,https://www.fca.org.uk,,,,,,,,,,,,,
2024年,阿联酋,900,个,政务、旅游,电子签证、身份认证,阿联酋信息与通信技术部,https://www.mcit.gov.ae,,,,,,,,,,,,,
2023年,印度,920,个,金融、教育,数字证书、贷款审批,印度信息技术部,https://www.mit.gov.in/,,,,,,,,,,,,,
2023年,澳大利亚,670,个,医疗、农业,医疗记录存储、农产品溯源,澳大利亚国立大学,https://www.anu.edu.au/,,,,,,,,,,,,,
2024年,阿联酋,1500,个,金融、政务、旅游,数字货币、签证审批,阿联酋中央银行,https://www.centralbank.ae/,,,,,,,,,,,,,
2023年,巴西,400,个,农业、金融,土地登记、供应链融资,巴西农业协会,http://www.abag.org.br/,,,,,,,,,,,,,
2022年,德国,950,个,制造、汽车,汽车追踪、生产流程透明,德国工业联合会,https://www.bdi.eu/,,,,,,,,,,,,,
2023年,南非,300,个,金融、供应链,小额信贷、跨国贸易,南非金融服务监管局,https://www.fsca.co.za/,,,,,,,,,,,,,
2023年,挪威,200,个,环保、银行,碳交易、金融合规,挪威创新局,https://www.innovasjonnorge.no/,,,,,,,,,,,,,
2023年,加拿大,1100,个,政府、媒体,透明治理、新闻来源防伪,加拿大政府数字服务部门,https://www.canada.ca/en.html,,,,,,,,,,,,,
2023年,俄罗斯,750,个,金融、物流,国际贸易结算、货物追踪,俄罗斯银行,https://www.cbr.ru/,,,,,,,,,,,,,
2024年,以色列,550,个,网络安全、医疗,数据保护、病历管理,以色列创新局,https://innovationisrael.org.il/,,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,农产品溯源、金融服务透明化,印度国家信息技术局,https://www.niti.gov.in/,,,,,,,,,,,,,
2023年,英国,950,个,金融、公益,透明捐款追踪、传统金融服务升级,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,德国,1300,个,医疗、物流,医疗记录安全共享、产品追溯,德国工业联合会,https://www.bdi.eu/,,,,,,,,,,,,,
2023年,阿根廷,700,个,农业、政府,土地登记、农业补贴透明化,阿根廷国家科学技术部,https://www.argentina.gob.ar/ciencia,,,,,,,,,,,,,
2023年,巴西,850,个,教育、金融,学历认证、安全支付,巴西教育部,http://www.mec.gov.br/,,,,,,,,,,,,,
2023年,摩洛哥,300,个,政务、能源,土地注册、可再生能源交易,摩洛哥数字化部,http://www.finances.gov.ma/,,,,,,,,,,,,,
2023年,南非,600,个,零售、金融,供应链透明性、点对点借贷,南非金融服务业,https://www.fsb.co.za/,,,,,,,,,,,,,
2023年,俄罗斯,1100,个,能源、政府,电力交易、公共服务数字化,俄罗斯联邦能源部,http://www.minenergo.gov.ru/,,,,,,,,,,,,,
2023年,以色列,400,个,科技、医疗,创新技术开发、医疗数据管理,以色列科技部,https://www.gov.il/en/departments/ministry_of_science_technology_and_space,,,,,,,,,,,,,
2023年,芬兰,250,个,公共服务、教育,数字身份验证、安全课程记录,芬兰数字事务局,https://vm.fi/en/frontpage,,,,,,,,,,,,,
2023年,印度,650,个,农业、金融,农产品溯源、贷款审批,印度信息技术部,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,英国,1100,个,金融、法律,数字资产交易、土地登记,英国金融监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2024年,澳大利亚,780,个,运输、物流,货物跟踪与管理,澳大利亚运输部,https://www.infrastructure.gov.au/,,,,,,,,,,,,,
2023年,巴西,400,个,金融、公共服务,数字货币、选举透明化,巴西中央银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2024年,阿联酋,1500,个,旅游、金融,旅游补贴、电子支付,阿联酋数字政府,https://u.ae/,,,,,,,,,,,,,
2023年,俄罗斯,950,个,能源、交通,智能电网、运输监控,俄罗斯科技部,https://www.minsvyaz.ru/,,,,,,,,,,,,,
2024年,南非,620,个,矿业、金融,矿产认证、资金流动跟踪,南非存款保险公司,https://www.piwb.co.za/,,,,,,,,,,,,,
2023年,瑞士,1400,个,金融、保险,智能合约、保单管理,瑞士国家银行,https://www.snb.ch/,,,,,,,,,,,,,
2023年,新西兰,450,个,农牧业、环保,溯源系统、碳信用交易,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2024年,加拿大,2300,个,公共安全、金融,身份验证、数字货币,加拿大金融监理局,https://www.osfi-bsif.gc.ca/,,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,农产品溯源、低成本借贷,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2023年,巴西,700,个,金融、能源,绿色能源交易、金融监管,Agência Brasil,https://agenciabrasil.ebc.com.br/,,,,,,,,,,,,,
2023年,俄罗斯,450,个,政务、物流,公证服务、物流透明,俄罗斯通讯社,https://tass.com/,,,,,,,,,,,,,
2023年,德国,900,个,汽车、供应链,汽车安全、供应链追踪,德意志银行,https://www.db.com/,,,,,,,,,,,,,
2024年,英国,1000,个,教育、金融,学位证书验证、去中心化金融,PwC,https://www.pwc.co.uk/,,,,,,,,,,,,,
2024年,澳大利亚,350,个,医疗、政务,健康数据管理、电子投票,澳大利亚政府,https://www.australia.gov.au/,,,,,,,,,,,,,
2023年,南非,300,个,金融、公益,汇款服务、慈善透明,南非金融服务委员会,https://www.fsc.gov.za/,,,,,,,,,,,,,
2023年,阿根廷,250,个,农业、金融,粮食供应链优化、农业信贷,阿根廷中央银行,http://www.bcra.gov.ar/,,,,,,,,,,,,,
2023年,沙特阿拉伯,220,个,石油、金属,原油交易、矿产追踪,沙特阿美,https://www.aramco.com/,,,,,,,,,,,,,
2024年,新西兰,400,个,科技、环保,环境监测、科研成果共享,新西兰科技部,https://www.mbie.govt.nz/,,,,,,,,,,,,,
2023年,印度,1500,个,金融、农业,农产品追溯、微贷,印度区块链研究所,https://www.india-blockchain.org/,,,,,,,,,,,,,
2023年,巴西,900,个,供应链、能源,碳信用交易、商品流通管理,巴西金融监管局,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,加拿大,650,个,医疗、教育,学生记录存取、健康数据管理,加拿大区块链协会,https://www.blockchaincanada.org/,,,,,,,,,,,,,
2024年,德国,1100,个,制造、政务,智能制造、投票系统,德国工业协会,https://www.bdi.eu/,,,,,,,,,,,,,
2024年,澳大利亚,750,个,证券、物流,证券交易透明化、港口物流追踪,澳大利亚证券与投资委员会,https://asic.gov.au/,,,,,,,,,,,,,
2024年,英国,2000,个,金融、保险,去中心化融资、风险管理,区块链英国,https://www.blockchainuk.org/,,,,,,,,,,,,,
2023年,俄罗斯,400,个,国防、能源,资源管理、数据安全,俄罗斯区块链技术协会,https://www.rusblockchain.ru/,,,,,,,,,,,,,
2023年,南非,300,个,金融、教育,金融普惠、学历验证,南非金融管理局,https://www.resbank.co.za/,,,,,,,,,,,,,
2024年,阿根廷,450,个,农业、政府,土地注册、补贴分配,阿根廷区块链中心,https://www.argentinablockchain.org/,,,,,,,,,,,,,
2023年,新西兰,200,个,环境、金融,碳信用交易、金融透明性,新西兰金融市场管理局,https://www.fma.govt.nz/,,,,,,,,,,,,,
2023年,印度,500,个,金融、农业,农业补贴透明化、微支付,印度信息技术部,https://www.meity.gov.in,,,,,,,,,,,,,
2023年,加拿大,950,个,供应链、运输,物流追踪、智能合约应用,加拿大金融监管局,https://www.fcnb.ca,,,,,,,,,,,,,
2023年,巴西,380,个,政府、金融,土地登记、数字货币,巴西区块链协会,https://www.bcb.gov.br,,,,,,,,,,,,,
2023年,澳大利亚,600,个,医疗、教育,电子病历、学历认证,澳大利亚国立大学,https://www.anu.edu.au,,,,,,,,,,,,,
2023年,阿根廷,250,个,能源、政府,可再生能源认证、公共服务透明化,阿根廷科学技术部,https://www.argentina.gob.ar/ciencia,,,,,,,,,,,,,
2023年,南非,700,个,金融、农业,融资透明化、供应链管理,南非银行监督机构,https://www.resbank.co.za,,,,,,,,,,,,,
2023年,英国,1100,个,金融、保险,自动理赔、风险评估,英国金融行为监管局,https://www.fca.org.uk,,,,,,,,,,,,,
2023年,新西兰,320,个,旅游、政府,电子护照、旅游记录管理,新西兰旅游局,https://www.tourism.govt.nz,,,,,,,,,,,,,
2023年,瑞士,1500,个,金融、科技,资产管理、数字货币交易所,瑞士金融市场监管局,https://www.finma.ch,,,,,,,,,,,,,
2023年,以色列,850,个,高科技、医疗,医药研发、数据保护,以色列高科技部,https://www.mit.gov.il,,,,,,,,,,,,,
2023年,印度,600,个,金融、农业,支付解决方案、农业供应链,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2023年,英国,950,个,医疗、运输,患者数据管理、物流追踪,UK Government,https://www.gov.uk/,,,,,,,,,,,,,
2023年,阿根廷,340,个,金融、教育,去中心化金融（DeFi）、学位认证,Argentinian Institute of Technology,https://www.inti.gob.ar/,,,,,,,,,,,,,
2023年,巴西,780,个,零售、物流,商品溯源、供应链透明度,B3 - Brasil Bolsa Balcão,https://www.b3.com.br/,,,,,,,,,,,,,
2024年,加拿大,600,个,金融、公共服务,社区投票、身份验证,Canadian Blockchain Consortium,https://www.canadianblockchainconsortium.org/,,,,,,,,,,,,,
2023年,澳大利亚,400,个,能源、地产,分布式能源交易、房产交易,Australian Energy Market Operator,https://aemo.com.au/,,,,,,,,,,,,,
2023年,新西兰,250,个,环保、农业,碳信用交易、农业智能合约,New Zealand Blockchain Association,https://blockchain.org.nz/,,,,,,,,,,,,,
2024年,南非,500,个,金融、教育,金融包容性、高等教育认证,South African Reserve Bank,https://www.resbank.co.za/,,,,,,,,,,,,,
2025年,法国,1200,个,政府、艺术,投票系统、数字艺术交易,French Blockchain Institute,https://www.blockchainfrance.com/,,,,,,,,,,,,,
2023年,印度,650,个,农业、金融,农产品溯源、供应链融资,印度信息技术部,https://www.mit.gov.in/,,,,,,,,,,,,,
2023年,英国,950,个,金融、教育,学位认证、资产管理,UK Government Digital Service,https://www.gov.uk/government/organisations/government-digital-service,,,,,,,,,,,,,
2023年,加拿大,500,个,能源、政府,智能电网、电子投票,加拿大数字经济局,https://www.ic.gc.ca/eic/site/086.nsf/eng/home,,,,,,,,,,,,,
2023年,巴西,300,个,健康、物流,医疗记录管理、货物追踪,巴西卫生部,https://www.gov.br/saude/pt-br,,,,,,,,,,,,,
2023年,阿根廷,200,个,金融、房地产,房地产交易、加密资产投资,阿根廷经济部,https://www.economia.gob.ar/,,,,,,,,,,,,,
2023年,澳大利亚,650,个,教育、银行,认证证书、金融透明度,澳大利亚教育部,https://www.education.gov.au/,,,,,,,,,,,,,
2023年,南非,400,个,政务、医疗,公民身份管理、药品追踪,南非政府服务部,https://www.gov.za/,,,,,,,,,,,,,
2023年,俄罗斯,780,个,能源、金融,能源交易、投资管理,俄罗斯联邦能源部,http://minenergo.gov.ru/,,,,,,,,,,,,,
2023年,新西兰,250,个,农业、金融,农产品输入管理、贷款信用评估,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,印度,750,个,金融、农业,农业供应链管理、金融交易透明化,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2024年,加拿大,900,个,金融、医疗,医疗数据管理、跨境支付,加拿大区块链协会,https://www.canada.ca/en.html,,,,,,,,,,,,,
2023年,英国,650,个,法律、房地产,智能合约、房地产产权转移,电子商务部,https://www.gov.uk/,,,,,,,,,,,,,
2025年,阿联酋,1100,个,政府、能源,数字身份验证、能源资源管理,阿联酋区块链委员会,https://www.uae.gov.ae/,,,,,,,,,,,,,
2023年,巴西,400,个,农业、金融,作物追踪、微金融技术,巴西区块链协会,https://www.brazil.gov.br/,,,,,,,,,,,,,
2023年,澳大利亚,500,个,物流、医疗,药品追踪、供应链透明化,澳大利亚政府,https://www.australia.gov.au/,,,,,,,,,,,,,
2023年,俄罗斯,200,个,能源、金融,能源交易、银行业务,俄罗斯区块链研究所,https://gov.ru/,,,,,,,,,,,,,
2023年,印度尼西亚,300,个,农业、物流,食品安全追踪、物流优化,印尼农业部,https://www.indonesia.go.id/,,,,,,,,,,,,,
2024年,南非,650,个,金融、政务,土地登记、金融监管,南非国际贸易部,https://www.gov.za/,,,,,,,,,,,,,
2025年,新西兰,420,个,农业、环境,可持续发展追踪、农产品溯源,新西兰农业部,https://www.govt.nz/,,,,,,,,,,,,,
